GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.04526666684541851,0.05250350013375282,0.02967790842502946,120
Dual-Gendered-Tri-Gendered,Cosine,0.048884913384293516,0.04923950135707855,0.030570696733575972,600
Dual-Gendered-Minimal-Gendered,Cosine,0.05522779164991031,0.05432849936187267,0.030441577181990136,120
Dual-Gendered-Dual-Gendered,Cosine,0.055770353610730836,0.054625000804662704,0.030633779373187175,540
Fully Non-Gendered-Tri-Gendered,Cosine,0.05594284285436429,0.04975549876689911,0.029753597696007123,420
Minimal-Gendered-Tri-Gendered,Cosine,0.058258983228976526,0.05220700055360794,0.02473408544485265,60
Dual-Gendered-Fully Non-Gendered,Cosine,0.059738528566612374,0.054625000804662704,0.03528107525385606,840
Fully Non-Gendered-Minimal-Gendered,Cosine,0.060455440709899576,0.051100000739097595,0.03248257777444425,84
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.06929743645106634,0.06666199862957001,0.03679884383595005,252
Tri-Gendered-Tri-Gendered,Jaccard,0.33748196248196244,0.33333333333333337,0.1742750139708985,120
Dual-Gendered-Tri-Gendered,Jaccard,0.35340270840270843,0.33333333333333337,0.1704602832527418,600
Dual-Gendered-Dual-Gendered,Jaccard,0.3908958325624992,0.33333333333333337,0.1571058062039548,540
Dual-Gendered-Minimal-Gendered,Jaccard,0.40515595515595515,0.46153846153846156,0.1802986883658878,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.4062726955584099,0.33333333333333337,0.1480964764709844,420
Dual-Gendered-Fully Non-Gendered,Jaccard,0.407613517434946,0.33333333333333337,0.17191403798128502,840
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.4296596260881976,0.39743589743589747,0.17451404071393542,84
Minimal-Gendered-Tri-Gendered,Jaccard,0.4486735486735487,0.46153846153846156,0.1434906827196755,60
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.4539902013641509,0.46153846153846156,0.1723548634554761,252
