GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.0217106746949799,0.017633500508964062,0.01783226751925937,252
Dual-Gendered-Dual-Gendered,Cosine,0.024564737045698462,0.024056000635027885,0.01522142868994876,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.0246017928963217,0.022901499643921852,0.015877613329224792,840
Fully Non-Gendered-Tri-Gendered,Cosine,0.02555879283962505,0.023728499189019203,0.018714182016542947,420
Dual-Gendered-Tri-Gendered,Cosine,0.026472074978907283,0.02356100082397461,0.01764489232620087,600
Tri-Gendered-Tri-Gendered,Cosine,0.029386733090116954,0.02938999980688095,0.01935792837517772,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.02942658319426257,0.02930200006812811,0.02052348610709285,84
Minimal-Gendered-Tri-Gendered,Cosine,0.03080194997601211,0.02732000034302473,0.02378464168113396,60
Dual-Gendered-Minimal-Gendered,Cosine,0.03566022499774893,0.03195999935269356,0.021543536586136544,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.22738504881362023,0.18181818181818177,0.15513247475879025,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.25484773163344593,0.33333333333333337,0.15715363381283154,420
Dual-Gendered-Dual-Gendered,Jaccard,0.2615113281779949,0.33333333333333337,0.14378629935240955,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2678445562374134,0.33333333333333337,0.1506439606721728,840
Dual-Gendered-Tri-Gendered,Jaccard,0.2746053946053946,0.33333333333333337,0.15220929095010147,600
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.2808183879612451,0.33333333333333337,0.1636727606733463,84
Tri-Gendered-Tri-Gendered,Jaccard,0.28743478743478745,0.33333333333333337,0.1564923732542903,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.2915861915861916,0.33333333333333337,0.17718461767920418,60
Dual-Gendered-Minimal-Gendered,Jaccard,0.34400876900876903,0.33333333333333337,0.16660475897191515,120
