GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.02045820839315032,0.019670499488711357,0.019161959851895834,120
Dual-Gendered-Tri-Gendered,Cosine,0.022220039974587658,0.019658999517560005,0.017799256032163355,600
Dual-Gendered-Dual-Gendered,Cosine,0.024036177762994167,0.019598999992012978,0.01958848879987423,540
Fully Non-Gendered-Tri-Gendered,Cosine,0.025914878595531696,0.02005399949848652,0.020995603433787986,420
Dual-Gendered-Fully Non-Gendered,Cosine,0.026172765512333874,0.020022999495267868,0.02157060539537141,840
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.027293567570627907,0.020409000106155872,0.020885984159704246,252
Dual-Gendered-Minimal-Gendered,Cosine,0.02913040827448962,0.020444500260055065,0.022150820588802453,120
Minimal-Gendered-Tri-Gendered,Cosine,0.03209976674988866,0.03991800174117088,0.021960108830477245,60
Fully Non-Gendered-Minimal-Gendered,Cosine,0.033998214600918196,0.037868501618504524,0.022548404049395027,84
Tri-Gendered-Tri-Gendered,Jaccard,0.17817182817182817,0.18181818181818177,0.15251848954628827,120
Dual-Gendered-Tri-Gendered,Jaccard,0.19598235098235095,0.18181818181818177,0.14180557303741648,600
Dual-Gendered-Dual-Gendered,Jaccard,0.20936409269742604,0.18181818181818177,0.14878756135604151,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.22971314399885828,0.18181818181818177,0.16045366842024947,840
Fully Non-Gendered-Tri-Gendered,Jaccard,0.23287585430442573,0.18181818181818177,0.16348970505398774,420
Dual-Gendered-Minimal-Gendered,Jaccard,0.23744033744033743,0.18181818181818177,0.16056331815351524,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.24527456670313813,0.18181818181818177,0.15006486468127356,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.24973359973359974,0.33333333333333337,0.15797107852237674,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.27626341912056196,0.33333333333333337,0.15989463844410512,84
