GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Tri-Gendered,Cosine,0.014582175004748971,0.016690000891685486,0.015175266179663173,600
Tri-Gendered-Tri-Gendered,Cosine,0.014799883331094558,0.013238999992609024,0.015817929355472233,120
Fully Non-Gendered-Tri-Gendered,Cosine,0.016121580914062048,0.017575999721884727,0.015985876666423395,420
Dual-Gendered-Dual-Gendered,Cosine,0.016705142621692547,0.018011000007390976,0.015414108954591539,540
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.016785694466393795,0.01812999974936247,0.015322862825526628,252
Dual-Gendered-Fully Non-Gendered,Cosine,0.016933953580779156,0.018011000007390976,0.015260629557728757,840
Minimal-Gendered-Tri-Gendered,Cosine,0.01705426659900695,0.018146999180316925,0.012581453582420094,60
Fully Non-Gendered-Minimal-Gendered,Cosine,0.017228666692972183,0.017653499729931355,0.01459112338160841,84
Dual-Gendered-Minimal-Gendered,Cosine,0.01807795825685995,0.018848000094294548,0.012827452625793287,120
Dual-Gendered-Tri-Gendered,Jaccard,0.17267010767010768,0.18181818181818177,0.1404103305500039,600
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.17652189080760508,0.18181818181818177,0.12835620622024926,84
Fully Non-Gendered-Tri-Gendered,Jaccard,0.17784120641263496,0.18181818181818177,0.14226055852223088,420
Tri-Gendered-Tri-Gendered,Jaccard,0.17793317793317792,0.18181818181818177,0.13901803028513643,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.18294483294483294,0.18181818181818177,0.11448487606427744,60
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.1860943289514718,0.18181818181818177,0.1384735031002903,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.1930303823160966,0.18181818181818177,0.13959267097407935,840
Dual-Gendered-Minimal-Gendered,Jaccard,0.19337884337884337,0.18181818181818177,0.12585546296398614,120
Dual-Gendered-Dual-Gendered,Jaccard,0.19938518271851605,0.18181818181818177,0.14211333544312874,540
