GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.018925891591419487,0.014732000418007374,0.01815603431692499,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.022529714391566813,0.018271999433636665,0.018253622726524567,84
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.0235587619197949,0.018387499265372753,0.01811332558304964,252
Fully Non-Gendered-Tri-Gendered,Cosine,0.02422017861821278,0.01866649929434061,0.018330453805451535,420
Dual-Gendered-Tri-Gendered,Cosine,0.02672061502032098,0.019411499612033367,0.0224470158162586,600
Dual-Gendered-Fully Non-Gendered,Cosine,0.027659770220173418,0.020666999742388725,0.02265628852497725,840
Minimal-Gendered-Tri-Gendered,Cosine,0.02812613339629024,0.033158499747514725,0.01886407553360067,60
Dual-Gendered-Minimal-Gendered,Cosine,0.030936333378000804,0.031220500357449055,0.02410121897980194,120
Dual-Gendered-Dual-Gendered,Cosine,0.032697768442542845,0.030515000224113464,0.025767594946712748,540
Tri-Gendered-Tri-Gendered,Jaccard,0.20765900765900766,0.18181818181818177,0.16372500885298005,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.22025989883132738,0.18181818181818177,0.15242838919091953,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.23606420034991463,0.18181818181818177,0.15573610407484462,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.24883529169243454,0.18181818181818177,0.1593682684952946,420
Dual-Gendered-Tri-Gendered,Jaccard,0.26181082806082806,0.18181818181818177,0.17567543436228422,600
Dual-Gendered-Fully Non-Gendered,Jaccard,0.26581721849578993,0.18181818181818177,0.17799863577375655,840
Minimal-Gendered-Tri-Gendered,Jaccard,0.2755355755355755,0.33333333333333337,0.1508661552057678,60
Dual-Gendered-Minimal-Gendered,Jaccard,0.2853042790542791,0.33333333333333337,0.17560516915274751,120
Dual-Gendered-Dual-Gendered,Jaccard,0.30267541100874434,0.33333333333333337,0.18953929067477474,540
