GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.019257567453360748,0.016215499490499496,0.01942027406705742,252
Fully Non-Gendered-Tri-Gendered,Cosine,0.022162921435647204,0.01775600016117096,0.01912752442608473,420
Minimal-Gendered-Tri-Gendered,Cosine,0.024550449987873434,0.02143650036305189,0.017230047870713867,60
Dual-Gendered-Fully Non-Gendered,Cosine,0.024612082164275,0.019760499708354473,0.02137612295870553,840
Dual-Gendered-Tri-Gendered,Cosine,0.024920888340916273,0.01959600020200014,0.021952450916231686,600
Tri-Gendered-Tri-Gendered,Cosine,0.025832733362461606,0.019851500168442726,0.020919602001286893,120
Dual-Gendered-Dual-Gendered,Cosine,0.026838757377534935,0.019752999767661095,0.025133124882556077,540
Dual-Gendered-Minimal-Gendered,Cosine,0.02805190012246991,0.02151300013065338,0.021268389690548426,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.029606154565477653,0.02884949930012226,0.016310603412267245,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.1762642119784977,0.18181818181818177,0.15673367614061082,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2029985887128744,0.18181818181818177,0.15021617837012505,420
Dual-Gendered-Fully Non-Gendered,Jaccard,0.218463282748997,0.18181818181818177,0.160558156173769,840
Minimal-Gendered-Tri-Gendered,Jaccard,0.22047952047952046,0.18181818181818177,0.13068194119923535,60
Dual-Gendered-Tri-Gendered,Jaccard,0.22102786102786104,0.18181818181818177,0.15374277532951788,600
Dual-Gendered-Dual-Gendered,Jaccard,0.22974371307704639,0.18181818181818177,0.16651373158783045,540
Tri-Gendered-Tri-Gendered,Jaccard,0.2309107559107559,0.18181818181818177,0.14535415035850546,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.2417360417360417,0.18181818181818177,0.1329821665807324,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.2562199705056848,0.33333333333333337,0.12094584605401797,84
