GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Minimal-Gendered,Cosine,0.011420809522470725,0.0144144999794662,0.010481736948595152,84
Minimal-Gendered-Tri-Gendered,Cosine,0.013637099977737913,0.016931500285863876,0.010029767214149818,60
Dual-Gendered-Minimal-Gendered,Cosine,0.013783383361684779,0.01568949967622757,0.013198309258466868,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.014868781676456805,0.017753999680280685,0.01225080681154513,252
Fully Non-Gendered-Tri-Gendered,Cosine,0.015725673835480673,0.017758999951183796,0.012170701568054864,420
Tri-Gendered-Tri-Gendered,Cosine,0.015788908411438266,0.017385000362992287,0.012562548546006616,120
Dual-Gendered-Fully Non-Gendered,Cosine,0.016759305963447938,0.0181294996291399,0.013123987601420983,840
Dual-Gendered-Tri-Gendered,Cosine,0.016925405071427424,0.017839999869465828,0.013245775701530705,600
Dual-Gendered-Dual-Gendered,Cosine,0.017493513017392683,0.01859699934720993,0.013709726806851629,540
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.12418137418137415,0.18181818181818177,0.11427403815363704,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.16058016058016056,0.18181818181818177,0.1255627072039206,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.1702020202020202,0.18181818181818177,0.10689621182102076,60
Dual-Gendered-Minimal-Gendered,Jaccard,0.17175602175602175,0.18181818181818177,0.14404301248029816,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.18302808302808302,0.18181818181818177,0.12167964787876849,420
Dual-Gendered-Dual-Gendered,Jaccard,0.18786337119670452,0.18181818181818177,0.1362411819284927,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.19009165437736866,0.18181818181818177,0.1339807882448681,840
Dual-Gendered-Tri-Gendered,Jaccard,0.19245421245421243,0.18181818181818177,0.13385967682457303,600
Tri-Gendered-Tri-Gendered,Jaccard,0.19644522144522145,0.18181818181818177,0.1341419728056612,120
