GenderPair,DistanceType,Mean,Median,StdDev,Count
Minimal-Gendered-Tri-Gendered,Cosine,0.019938149970645705,0.01743900030851364,0.019557610582297477,60
Fully Non-Gendered-Minimal-Gendered,Cosine,0.021870416497521427,0.018149000592529774,0.018990983903294716,84
Dual-Gendered-Minimal-Gendered,Cosine,0.02281789999299993,0.01903199963271618,0.01918340811036116,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02337191249096086,0.01903199963271618,0.018904598457640552,252
Dual-Gendered-Fully Non-Gendered,Cosine,0.025090402232220976,0.01951799914240837,0.019404063921071142,840
Fully Non-Gendered-Tri-Gendered,Cosine,0.025297695167144984,0.019190000370144844,0.020341561606700434,420
Dual-Gendered-Tri-Gendered,Cosine,0.02537322996179152,0.01958900038152933,0.02006219379874812,600
Dual-Gendered-Dual-Gendered,Cosine,0.02707688512960418,0.020805499516427517,0.018791744273476345,540
Tri-Gendered-Tri-Gendered,Cosine,0.02714686654508114,0.020128999836742878,0.021960805942498506,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.17572982572982573,0.18181818181818177,0.14226500606439427,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.18639693639693639,0.18181818181818177,0.14223899101713577,84
Dual-Gendered-Minimal-Gendered,Jaccard,0.19658397158397156,0.18181818181818177,0.14033802635964274,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.2036112036112036,0.18181818181818177,0.14159953115600118,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.21527757956329385,0.18181818181818177,0.14302084567921816,840
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2170789527932385,0.18181818181818177,0.14460611985589006,420
Dual-Gendered-Tri-Gendered,Jaccard,0.21784937284937286,0.18181818181818177,0.1434250356788946,600
Tri-Gendered-Tri-Gendered,Jaccard,0.23093573093573092,0.18181818181818177,0.14521717166958417,120
Dual-Gendered-Dual-Gendered,Jaccard,0.23171704838371504,0.18181818181818177,0.1359934998871784,540
