GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.009734524951203602,0.0,0.012204011751031505,120
Fully Non-Gendered-Tri-Gendered,Cosine,0.011044140518735698,0.013166000135242939,0.012321692044692183,420
Dual-Gendered-Tri-Gendered,Cosine,0.011123083294617687,0.012644000351428986,0.012464263604303546,600
Dual-Gendered-Dual-Gendered,Cosine,0.011779140741667873,0.012644000351428986,0.013284063180512179,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.01219315117059753,0.012899000197649002,0.013466443907552764,840
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.013277948475516742,0.014585000462830067,0.013732604909242893,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.028273547777817362,0.023723000660538673,0.019929466904796588,84
Minimal-Gendered-Tri-Gendered,Cosine,0.028864333533766738,0.03077249974012375,0.020388825496166437,60
Dual-Gendered-Minimal-Gendered,Cosine,0.029064416780475236,0.02828450035303831,0.020752064284882608,120
Tri-Gendered-Tri-Gendered,Jaccard,0.09166666666666665,0.0,0.11024084104993023,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.1054112554112554,0.18181818181818177,0.10643248757298068,420
Dual-Gendered-Tri-Gendered,Jaccard,0.10785159285159283,0.18181818181818177,0.11204130731659122,600
Dual-Gendered-Dual-Gendered,Jaccard,0.11511698178364843,0.18181818181818177,0.11753671970720024,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.11787101787101785,0.18181818181818177,0.11578379157525456,840
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.1242183742183742,0.18181818181818177,0.11409954044189496,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.2207070707070707,0.33333333333333337,0.13344670749114468,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.22599622599622599,0.25757575757575757,0.13170537445526365,84
Dual-Gendered-Minimal-Gendered,Jaccard,0.22694250194250196,0.33333333333333337,0.13404589235434003,120
