GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.03782145629188084,0.03688599914312363,0.02476740789941414,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.04234567858863362,0.041159000247716904,0.03206502099852924,84
Dual-Gendered-Fully Non-Gendered,Cosine,0.04408449403064941,0.0398159995675087,0.030877252082392732,840
Dual-Gendered-Minimal-Gendered,Cosine,0.04537429175482165,0.040155500173568726,0.03548178849573536,120
Dual-Gendered-Dual-Gendered,Cosine,0.04584547774732641,0.04145650006830692,0.03080550597776709,540
Minimal-Gendered-Tri-Gendered,Cosine,0.05000616691916283,0.03449049964547157,0.048443677741198274,60
Dual-Gendered-Tri-Gendered,Cosine,0.05199563345786638,0.04434800148010254,0.04068578131511974,600
Fully Non-Gendered-Tri-Gendered,Cosine,0.05324918348220427,0.04414699971675873,0.03966510605018625,420
Tri-Gendered-Tri-Gendered,Cosine,0.06320756681373514,0.05475050024688244,0.0470032002526893,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.29899201327772756,0.33333333333333337,0.15030449362052384,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.3268318283024165,0.33333333333333337,0.2341434835653429,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.32923822209536496,0.33333333333333337,0.19255900842061613,84
Dual-Gendered-Minimal-Gendered,Jaccard,0.34484559558088973,0.33333333333333337,0.19146225095317868,120
Dual-Gendered-Fully Non-Gendered,Jaccard,0.34713690837640415,0.33333333333333337,0.18266480048676978,840
Dual-Gendered-Dual-Gendered,Jaccard,0.36930388057839036,0.33333333333333337,0.17550706488787615,540
Dual-Gendered-Tri-Gendered,Jaccard,0.3737771542183307,0.33333333333333337,0.20826447750248778,600
Fully Non-Gendered-Tri-Gendered,Jaccard,0.3774462465638936,0.33333333333333337,0.2016775922974237,420
Tri-Gendered-Tri-Gendered,Jaccard,0.4106513176366118,0.46153846153846156,0.2241723392171034,120
