GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.016444383396118194,0.016156500205397606,0.016892050660833616,120
Dual-Gendered-Tri-Gendered,Cosine,0.01714825337276333,0.015825999900698662,0.017548609109860534,600
Minimal-Gendered-Tri-Gendered,Cosine,0.018560433217013877,0.017672999761998653,0.01716586043485137,60
Dual-Gendered-Dual-Gendered,Cosine,0.01891334264214956,0.017687000334262848,0.018823324918287702,540
Fully Non-Gendered-Tri-Gendered,Cosine,0.01898222150289149,0.016519999131560326,0.018904241969279048,420
Dual-Gendered-Minimal-Gendered,Cosine,0.020874808410493037,0.017909499816596508,0.020185267206467822,120
Dual-Gendered-Fully Non-Gendered,Cosine,0.02111342860762347,0.018232999369502068,0.02062971575713709,840
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.023138242076886254,0.01832649949938059,0.02197497901334463,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.02383288098055692,0.021712500602006912,0.021722701645429623,84
Tri-Gendered-Tri-Gendered,Jaccard,0.15862470862470862,0.18181818181818177,0.14787420284688801,120
Dual-Gendered-Tri-Gendered,Jaccard,0.16963480963480965,0.18181818181818177,0.1594145008019904,600
Minimal-Gendered-Tri-Gendered,Jaccard,0.17105672105672104,0.18181818181818177,0.13987402751080044,60
Fully Non-Gendered-Tri-Gendered,Jaccard,0.18428396999825572,0.18181818181818177,0.15980622470138495,420
Dual-Gendered-Dual-Gendered,Jaccard,0.18559896893230224,0.18181818181818177,0.17228301739879417,540
Dual-Gendered-Minimal-Gendered,Jaccard,0.1919247419247419,0.18181818181818177,0.15927021947698394,120
Dual-Gendered-Fully Non-Gendered,Jaccard,0.20134785849071563,0.18181818181818177,0.1764568155266997,840
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.21155035440749725,0.18181818181818177,0.16949572760699266,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.2166236541236541,0.18181818181818177,0.1778688342111007,252
