GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.02127808824142024,0.01795199979096651,0.019505910683427365,1440
Minimal-Gendered-Tri-Gendered,Cosine,0.023361761094755372,0.018774500116705894,0.022512428930145885,720
Fully Non-Gendered-Tri-Gendered,Cosine,0.024208763707693967,0.018758999183773994,0.02453945395400938,5040
Dual-Gendered-Tri-Gendered,Cosine,0.024232870293500797,0.019135000184178352,0.023581897685986317,7200
Dual-Gendered-Dual-Gendered,Cosine,0.024749930875128306,0.019019000232219696,0.024788209174410786,6480
Fully Non-Gendered-Minimal-Gendered,Cosine,0.02503071817295113,0.019227500073611736,0.024292985287266908,1008
Dual-Gendered-Minimal-Gendered,Cosine,0.025251341672066257,0.01999500021338463,0.023082577999434226,1440
Dual-Gendered-Fully Non-Gendered,Cosine,0.02657532490277229,0.019790999591350555,0.0267847751363508,10080
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.026756629000802626,0.019099999219179153,0.02926047307269816,3024
Tri-Gendered-Tri-Gendered,Jaccard,0.20398728586228584,0.18181818181818177,0.14531920175915677,1440
Minimal-Gendered-Tri-Gendered,Jaccard,0.21122939560439558,0.18181818181818177,0.15443623698358475,720
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2211969871476174,0.18181818181818177,0.15961570801853978,5040
Dual-Gendered-Tri-Gendered,Jaccard,0.22225572412337116,0.18181818181818177,0.16100362441567165,7200
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.22304648355068524,0.18181818181818177,0.16340778483031995,1008
Dual-Gendered-Dual-Gendered,Jaccard,0.22476459179890554,0.18181818181818177,0.1667302705256912,6480
Dual-Gendered-Minimal-Gendered,Jaccard,0.22776031838531838,0.18181818181818177,0.1626502703547416,1440
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.23540313561321963,0.18181818181818177,0.17336778476962617,3024
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2370966555490365,0.18181818181818177,0.16948033374209817,10080
