GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.015420500078407902,0.015133500099182129,0.01449618562946795,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.01548485707072343,0.014996999874711037,0.01718983689126596,84
Dual-Gendered-Tri-Gendered,Cosine,0.01617801503348308,0.015331000089645386,0.015314923365045361,600
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.016614468261682953,0.014996999874711037,0.016638283702511414,252
Dual-Gendered-Dual-Gendered,Cosine,0.016915205608620663,0.01491349982097745,0.016984822895754315,540
Minimal-Gendered-Tri-Gendered,Cosine,0.01744258332376679,0.015331000089645386,0.016855495887073517,60
Fully Non-Gendered-Tri-Gendered,Cosine,0.017479952419612182,0.015407999977469444,0.01609527850436688,420
Dual-Gendered-Fully Non-Gendered,Cosine,0.018049645279897067,0.015331000089645386,0.01772514825493098,840
Dual-Gendered-Minimal-Gendered,Cosine,0.019017733392926554,0.016266499646008015,0.017337423796439093,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.14779664779664778,0.18181818181818177,0.13518172859837188,84
Tri-Gendered-Tri-Gendered,Jaccard,0.15415695415695413,0.18181818181818177,0.11140713865819514,120
Dual-Gendered-Tri-Gendered,Jaccard,0.15895104895104895,0.18181818181818177,0.1235249621676987,600
Dual-Gendered-Dual-Gendered,Jaccard,0.1618646785313452,0.18181818181818177,0.13634511496576876,540
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.16337234194377048,0.18181818181818177,0.14013624639460806,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.16855921855921852,0.18181818181818177,0.1296131497909225,420
Minimal-Gendered-Tri-Gendered,Jaccard,0.16942501942501942,0.18181818181818177,0.13281513202817338,60
Dual-Gendered-Fully Non-Gendered,Jaccard,0.17660038374324089,0.18181818181818177,0.14417693184570424,840
Dual-Gendered-Minimal-Gendered,Jaccard,0.18682983682983684,0.18181818181818177,0.1430638822194439,120
