GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Tri-Gendered,Cosine,0.026103923833142605,0.020503999665379524,0.020303236795296838,420
Dual-Gendered-Tri-Gendered,Cosine,0.026462798357240445,0.021130499430000782,0.01928560875734455,600
Fully Non-Gendered-Minimal-Gendered,Cosine,0.026606987859586134,0.02183699980378151,0.019638053653365482,84
Dual-Gendered-Dual-Gendered,Cosine,0.026885138867642464,0.02311900071799755,0.019044677748349892,540
Tri-Gendered-Tri-Gendered,Cosine,0.027120675025250306,0.020531000569462776,0.021839322906328965,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.027269817393498815,0.020552000030875206,0.02091659839641409,252
Dual-Gendered-Fully Non-Gendered,Cosine,0.027324204698032466,0.022305499762296677,0.01895076646870491,840
Minimal-Gendered-Tri-Gendered,Cosine,0.02794698324662666,0.021194499917328358,0.023863257185362478,60
Dual-Gendered-Minimal-Gendered,Cosine,0.028072024943927923,0.023471999913454056,0.020892875091463942,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.26357531357531355,0.25757575757575757,0.1607480585258538,60
Tri-Gendered-Tri-Gendered,Jaccard,0.26485181485181486,0.18181818181818177,0.1455981152037206,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.26496519353662207,0.18181818181818177,0.1427689527940607,420
Dual-Gendered-Tri-Gendered,Jaccard,0.2710213397713398,0.33333333333333337,0.14432907555068236,600
Dual-Gendered-Dual-Gendered,Jaccard,0.27266637683304346,0.33333333333333337,0.14682043598431346,540
Dual-Gendered-Minimal-Gendered,Jaccard,0.27882117882117885,0.33333333333333337,0.1506272845973643,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.2808461379889951,0.33333333333333337,0.1314171487122861,84
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2810095658309944,0.33333333333333337,0.14488678733003219,840
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.2827939256510685,0.33333333333333337,0.14723992949758666,252
