GenderPair,DistanceType,Mean,Median,StdDev,Count
Minimal-Gendered-Tri-Gendered,Cosine,0.02089746647203962,0.016630999743938446,0.018734094117298726,60
Dual-Gendered-Minimal-Gendered,Cosine,0.021733774881189067,0.013101499993354082,0.022926995609347137,120
Tri-Gendered-Tri-Gendered,Cosine,0.02401224172545729,0.017836499959230423,0.019021752202463032,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.024483190417023643,0.016630999743938446,0.0260668975764108,84
Fully Non-Gendered-Tri-Gendered,Cosine,0.024954402449275007,0.017799999564886093,0.0236728913408325,420
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.025330262101748855,0.017767999321222305,0.025276636611011614,252
Dual-Gendered-Tri-Gendered,Cosine,0.026236863291582608,0.019694000482559204,0.022533839678796845,600
Dual-Gendered-Dual-Gendered,Cosine,0.027589238881161767,0.01851700060069561,0.025260872315232163,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.02972540362070842,0.019576499238610268,0.027387416798266964,840
Dual-Gendered-Minimal-Gendered,Jaccard,0.2006327006327006,0.18181818181818177,0.16745374006463198,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.20897990897990895,0.18181818181818177,0.13688647835766424,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.21596260881975166,0.18181818181818177,0.1704858222722309,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.22209140066282923,0.18181818181818177,0.1785512399258837,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.22550941122369692,0.18181818181818177,0.16764493787878024,420
Tri-Gendered-Tri-Gendered,Jaccard,0.23017260517260515,0.18181818181818177,0.1427986230814212,120
Dual-Gendered-Tri-Gendered,Jaccard,0.2347341547341547,0.18181818181818177,0.15731041322210484,600
Dual-Gendered-Dual-Gendered,Jaccard,0.23919922669922672,0.18181818181818177,0.17378842842775777,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.24765413158270302,0.18181818181818177,0.17812357094085676,840
