GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Minimal-Gendered,Cosine,0.015927766682199262,0.010731500107795,0.019837160605324637,120
Minimal-Gendered-Tri-Gendered,Cosine,0.016362816750777633,0.01731900032609701,0.017547533809269936,60
Fully Non-Gendered-Minimal-Gendered,Cosine,0.017707357191142137,0.01853050012141466,0.018329498138854202,84
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02070607943081705,0.020339999347925186,0.016374308305735455,252
Dual-Gendered-Tri-Gendered,Cosine,0.02171294830053152,0.019088000059127808,0.019638055601865895,600
Dual-Gendered-Dual-Gendered,Cosine,0.023076905555220465,0.020961999893188477,0.02094633371193448,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.023354366724179867,0.02104100026190281,0.02045072933626948,840
Fully Non-Gendered-Tri-Gendered,Cosine,0.023613588168632575,0.020230000838637352,0.019331077085670036,420
Tri-Gendered-Tri-Gendered,Cosine,0.02365290013827727,0.019552499987185,0.018165466985133646,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.14487456987456987,0.18181818181818177,0.15219118047287553,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.1562215562215562,0.18181818181818177,0.14414052874634234,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.1757448900306043,0.18181818181818177,0.16684092744350773,84
Dual-Gendered-Tri-Gendered,Jaccard,0.20543567543567542,0.18181818181818177,0.15508367396764444,600
Dual-Gendered-Dual-Gendered,Jaccard,0.21134482801149468,0.18181818181818177,0.15931863023723875,540
Tri-Gendered-Tri-Gendered,Jaccard,0.22301864801864799,0.18181818181818177,0.14738190564863507,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.22593676165104734,0.18181818181818177,0.16006318324501093,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2262919620062477,0.18181818181818177,0.16886732388971307,840
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2304187875616447,0.18181818181818177,0.16411429938209413,420
