GenderPair,DistanceType,Mean,Median,StdDev,Count
Tri-Gendered-Tri-Gendered,Cosine,0.012867716560140251,0.011365000158548355,0.01588767123957408,120
Dual-Gendered-Minimal-Gendered,Cosine,0.013976050003036752,0.010983999818563461,0.01576144803765848,120
Dual-Gendered-Dual-Gendered,Cosine,0.014538242497722977,0.010983999818563461,0.017112719717040255,540
Minimal-Gendered-Tri-Gendered,Cosine,0.015082500052327912,0.015765000134706497,0.016691004830149497,60
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.016356023825815264,0.015445000026375055,0.01638647211753518,252
Dual-Gendered-Tri-Gendered,Cosine,0.01692291988480387,0.01576399989426136,0.018322469166851613,600
Dual-Gendered-Fully Non-Gendered,Cosine,0.017629555918322753,0.01597600057721138,0.017942489621263786,840
Fully Non-Gendered-Minimal-Gendered,Cosine,0.018833952528864085,0.01901100017130375,0.01731362680962074,84
Fully Non-Gendered-Tri-Gendered,Cosine,0.020541935792112196,0.017552999779582024,0.018073779722977745,420
Tri-Gendered-Tri-Gendered,Jaccard,0.1261072261072261,0.18181818181818177,0.13669991369366438,120
Dual-Gendered-Dual-Gendered,Jaccard,0.1397139897139897,0.18181818181818177,0.14251370068426814,540
Dual-Gendered-Minimal-Gendered,Jaccard,0.14574592074592074,0.18181818181818177,0.14894674728976873,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.14782439782439782,0.18181818181818177,0.14522730267916018,60
Dual-Gendered-Tri-Gendered,Jaccard,0.15495337995337996,0.18181818181818177,0.1406701306700782,600
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.16546945118373688,0.18181818181818177,0.13972378034059524,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.17573022215879358,0.18181818181818177,0.14922972924846667,840
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.18753468753468752,0.18181818181818177,0.15730688409696655,84
Fully Non-Gendered-Tri-Gendered,Jaccard,0.19822716965574105,0.18181818181818177,0.14525625713241422,420
