GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Minimal-Gendered,Cosine,0.015564275039501278,0.015454999636858702,0.014218546314565395,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.017081261794506492,0.015479999594390392,0.016045546788005263,84
Minimal-Gendered-Tri-Gendered,Cosine,0.018820150052338627,0.01564300013706088,0.0167225556777393,60
Dual-Gendered-Dual-Gendered,Cosine,0.019802629679610897,0.01597550045698881,0.01468999564666578,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.02293080004871621,0.0167859997600317,0.01874946528184912,840
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02331620635472865,0.017162000760436058,0.01804864889093276,252
Dual-Gendered-Tri-Gendered,Cosine,0.023795235028676795,0.017162000760436058,0.018297518920768387,600
Fully Non-Gendered-Tri-Gendered,Cosine,0.027324628543116854,0.020475000143051147,0.019972438730163335,420
Tri-Gendered-Tri-Gendered,Cosine,0.027381691627543128,0.02466150000691414,0.01881529463633761,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.1724358974358974,0.18181818181818177,0.12913839275039143,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.17732664161235587,0.18181818181818177,0.13601155283208605,84
Minimal-Gendered-Tri-Gendered,Jaccard,0.19906759906759905,0.18181818181818177,0.13312036984848402,60
Dual-Gendered-Dual-Gendered,Jaccard,0.21860793527460193,0.18181818181818177,0.12660903177285612,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2306641770927485,0.18181818181818177,0.1406640099804871,840
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.23177219605791033,0.18181818181818177,0.1346724495564888,252
Dual-Gendered-Tri-Gendered,Jaccard,0.24374403374403372,0.18181818181818177,0.14123644660860607,600
Tri-Gendered-Tri-Gendered,Jaccard,0.26319236319236317,0.25757575757575757,0.13365327777078115,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2669988741417313,0.33333333333333337,0.14417164834260737,420
