GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Dual-Gendered,Cosine,0.02139254263902604,0.018553500063717365,0.020128868735176227,540
Dual-Gendered-Tri-Gendered,Cosine,0.023799114997563608,0.019349999725818634,0.01945728405180107,600
Dual-Gendered-Fully Non-Gendered,Cosine,0.02427152503261574,0.01916849985718727,0.021308276136933462,840
Dual-Gendered-Minimal-Gendered,Cosine,0.02434116674309147,0.018765000626444817,0.019783704641123532,120
Minimal-Gendered-Tri-Gendered,Cosine,0.026083566869298618,0.018765000626444817,0.02130678823356969,60
Tri-Gendered-Tri-Gendered,Cosine,0.026190324872732162,0.021076000295579433,0.020417647282798254,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.026282103104848818,0.020030999556183815,0.021186627624978124,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.028056095287735974,0.019612999632954597,0.02125341541194725,84
Fully Non-Gendered-Tri-Gendered,Cosine,0.029274702342098093,0.02320050075650215,0.02313899138662954,420
Dual-Gendered-Dual-Gendered,Jaccard,0.2029211529211529,0.18181818181818177,0.15159192614263067,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.22007080221365938,0.18181818181818177,0.1564794845777932,840
Dual-Gendered-Tri-Gendered,Jaccard,0.22602397602397603,0.18181818181818177,0.15064733672729816,600
Dual-Gendered-Minimal-Gendered,Jaccard,0.22657897657897658,0.18181818181818177,0.1497495604562334,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.23095026666455237,0.18181818181818177,0.15096102837721737,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.23595293595293593,0.18181818181818177,0.16010010928274132,60
Tri-Gendered-Tri-Gendered,Jaccard,0.23753746253746255,0.18181818181818177,0.1453565832519212,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.2462814962814963,0.18181818181818177,0.15104649540125542,84
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2601691958834816,0.33333333333333337,0.1586254927893486,420
