GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Dual-Gendered,Cosine,0.0217133999490885,0.019135000184178352,0.018942556497690093,540
Dual-Gendered-Tri-Gendered,Cosine,0.0218103450119609,0.01882999949157238,0.02001935541009626,600
Minimal-Gendered-Tri-Gendered,Cosine,0.022174583472085865,0.01856549922376871,0.021940607421764367,60
Tri-Gendered-Tri-Gendered,Cosine,0.023563508322377896,0.018982499837875366,0.0196929432822887,120
Dual-Gendered-Minimal-Gendered,Cosine,0.024039400003907,0.019064499996602535,0.022357587206043687,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.026987194554654554,0.020030999556183815,0.026913017428282376,252
Dual-Gendered-Fully Non-Gendered,Cosine,0.027219279806847328,0.02026600018143654,0.025074053043965705,840
Fully Non-Gendered-Tri-Gendered,Cosine,0.030330764340196548,0.020228000357747078,0.028088049054515674,420
Fully Non-Gendered-Minimal-Gendered,Cosine,0.03760466673596901,0.027479000389575958,0.034876548958536,84
Minimal-Gendered-Tri-Gendered,Jaccard,0.18139083139083137,0.18181818181818177,0.14295400115518522,60
Dual-Gendered-Tri-Gendered,Jaccard,0.1819114219114219,0.18181818181818177,0.1357963373726455,600
Dual-Gendered-Dual-Gendered,Jaccard,0.18709747043080374,0.18181818181818177,0.1368631417053595,540
Dual-Gendered-Minimal-Gendered,Jaccard,0.19337606837606838,0.18181818181818177,0.1518973624072942,120
Tri-Gendered-Tri-Gendered,Jaccard,0.19473581973581972,0.18181818181818177,0.12666709117427133,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.21016681730967446,0.18181818181818177,0.16884787294527714,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.21525974025974026,0.18181818181818177,0.1626098801038105,840
Fully Non-Gendered-Tri-Gendered,Jaccard,0.22895834324405753,0.18181818181818177,0.1677445753219681,420
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.25783740069454353,0.33333333333333337,0.19017585339247783,84
