GenderPair,DistanceType,Mean,Median,StdDev,Count
Dual-Gendered-Minimal-Gendered,Cosine,0.017950791768320564,0.015358000062406063,0.015156223394711402,120
Fully Non-Gendered-Minimal-Gendered,Cosine,0.01908945248699129,0.017913000658154488,0.012864333706839861,84
Dual-Gendered-Dual-Gendered,Cosine,0.020506144517123334,0.01604199968278408,0.016153690223547314,540
Dual-Gendered-Fully Non-Gendered,Cosine,0.021075804779031922,0.01760950032621622,0.016424874965478693,840
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02134299207945096,0.0185139998793602,0.014820415266242781,252
Dual-Gendered-Tri-Gendered,Cosine,0.021892283332872846,0.01797000039368868,0.016818879751978225,600
Minimal-Gendered-Tri-Gendered,Cosine,0.022169933235018865,0.018061000853776932,0.0170417612377462,60
Fully Non-Gendered-Tri-Gendered,Cosine,0.024385809513579,0.019371500238776207,0.017465678549824924,420
Tri-Gendered-Tri-Gendered,Cosine,0.027127300053383388,0.026061000302433968,0.01932626277583013,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.2056166056166056,0.18181818181818177,0.1337002195571149,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.2266979052693338,0.18181818181818177,0.1222565237718381,84
Dual-Gendered-Dual-Gendered,Jaccard,0.22995831329164662,0.18181818181818177,0.13398767897478628,540
Dual-Gendered-Fully Non-Gendered,Jaccard,0.23708384869099153,0.18181818181818177,0.14690961121832882,840
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.2373922373922374,0.18181818181818177,0.1368264039426421,252
Minimal-Gendered-Tri-Gendered,Jaccard,0.24623154623154622,0.18181818181818177,0.14709405570651843,60
Dual-Gendered-Tri-Gendered,Jaccard,0.24698079698079695,0.18181818181818177,0.14808097757553834,600
Fully Non-Gendered-Tri-Gendered,Jaccard,0.269863073434502,0.18181818181818177,0.1583041122428167,420
Tri-Gendered-Tri-Gendered,Jaccard,0.28895548895548895,0.33333333333333337,0.17066137037070261,120
