Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Plants,Spatial Concepts,Cosine,-1.3333240670400166,0.013145244234031128,0.05831806553148251,3312,3312
Neutral Animals,Spatial Concepts,Cosine,-1.2262683260905456,0.01619227806220989,0.05831806553148251,3312,3312
Cultural Artifacts,Spatial Concepts,Cosine,-1.2239415436987013,0.01681309444209402,0.05831806553148251,3312,3312
Social Relationships,Spatial Concepts,Cosine,-1.139577468327762,0.01921580467971116,0.05831806553148251,3312,3312
Human Roles,Plants,Cosine,0.9952282372152371,0.02856555621988156,0.013145244234031128,3312,3312
Places,Spatial Concepts,Cosine,-0.9831153170935982,0.023750077553566264,0.05831806553148251,3312,3312
Plants,Time Concepts,Cosine,-0.9516740060634273,0.013145244234031128,0.032223277940956994,3312,3312
Environmental Phenomena,Spatial Concepts,Cosine,-0.9337103128315667,0.02567217601642323,0.05831806553148251,3312,3312
Inanimate Objects,Spatial Concepts,Cosine,-0.9187229369490864,0.024909801912278456,0.05831806553148251,3312,3312
Food Items,Spatial Concepts,Cosine,-0.9181329146756698,0.02549932038168238,0.05831806553148251,3312,3312
Abstract Concepts,Spatial Concepts,Cosine,-0.8896646339581882,0.027062325753685428,0.05831806553148251,3312,3312
Abstract Concepts,Plants,Cosine,0.873123372039822,0.027062325753685428,0.013145244234031128,3312,3312
Human Roles,Spatial Concepts,Cosine,-0.8517185793745963,0.02856555621988156,0.05831806553148251,3312,3312
Environmental Phenomena,Plants,Cosine,0.8048312284001764,0.02567217601642323,0.013145244234031128,3312,3312
Neutral Animals,Time Concepts,Cosine,-0.769381945247124,0.01619227806220989,0.032223277940956994,3312,3312
Cultural Artifacts,Time Concepts,Cosine,-0.7667039854625972,0.01681309444209402,0.032223277940956994,3312,3312
Cultural Artifacts,Human Roles,Cosine,-0.7552005014980723,0.01681309444209402,0.02856555621988156,3312,3312
Human Roles,Neutral Animals,Cosine,0.7497658229940944,0.02856555621988156,0.01619227806220989,3312,3312
Food Items,Plants,Cosine,0.7162342863228617,0.02549932038168238,0.013145244234031128,3312,3312
Spatial Concepts,Time Concepts,Cosine,0.7019217226896467,0.05831806553148251,0.032223277940956994,3312,3312
Places,Plants,Cosine,0.6626101870877296,0.023750077553566264,0.013145244234031128,3312,3312
Abstract Concepts,Neutral Animals,Cosine,0.6423801834502713,0.027062325753685428,0.01619227806220989,3312,3312
Abstract Concepts,Cultural Artifacts,Cosine,0.6403635964228293,0.027062325753685428,0.01681309444209402,3312,3312
Inanimate Objects,Plants,Cosine,0.6360327185025724,0.024909801912278456,0.013145244234031128,3312,3312
Social Relationships,Time Concepts,Cosine,-0.6262510094695821,0.01921580467971116,0.032223277940956994,3312,3312
Environmental Phenomena,Neutral Animals,Cosine,0.5721468986341615,0.02567217601642323,0.01619227806220989,3312,3312
Human Roles,Social Relationships,Cosine,0.5694237380660017,0.02856555621988156,0.01921580467971116,3312,3312
Cultural Artifacts,Environmental Phenomena,Cosine,-0.5667215741576547,0.01681309444209402,0.02567217601642323,3312,3312
Food Items,Neutral Animals,Cosine,0.5124999927223285,0.02549932038168238,0.01619227806220989,3312,3312
Cultural Artifacts,Food Items,Cosine,-0.5018161802962997,0.01681309444209402,0.02549932038168238,3312,3312
Abstract Concepts,Social Relationships,Cosine,0.4659343138357615,0.027062325753685428,0.01921580467971116,3312,3312
