Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Plants,Spatial Concepts,Cosine,-1.2620103621160503,0.013009063418869567,0.04692767484689468,3312,3312
Neutral Animals,Spatial Concepts,Cosine,-1.1610474996887106,0.016138708059493776,0.04692767484689468,3312,3312
Plants,Time Concepts,Cosine,-1.0097120815566956,0.013009063418869567,0.03444165552159724,3312,3312
Cultural Artifacts,Spatial Concepts,Cosine,-0.9820766491880599,0.019643841880749136,0.04692767484689468,3312,3312
Human Roles,Plants,Cosine,0.8836377731580074,0.028206405813274507,0.013009063418869567,3312,3312
Neutral Animals,Time Concepts,Cosine,-0.8811867599928508,0.016138708059493776,0.03444165552159724,3312,3312
Food Items,Plants,Cosine,0.8767502242101879,0.03385396198594878,0.013009063418869567,3312,3312
Inanimate Objects,Spatial Concepts,Cosine,-0.772806313121721,0.02438653140332762,0.04692767484689468,3312,3312
Abstract Concepts,Plants,Cosine,0.7709335114378756,0.025683503044484607,0.013009063418869567,3312,3312
Places,Spatial Concepts,Cosine,-0.7705436549115483,0.02495946879570648,0.04692767484689468,3312,3312
Abstract Concepts,Spatial Concepts,Cosine,-0.7585177216951118,0.025683503044484607,0.04692767484689468,3312,3312
Food Items,Neutral Animals,Cosine,0.7580571406345401,0.03385396198594878,0.016138708059493776,3312,3312
Social Relationships,Spatial Concepts,Cosine,-0.7499189130754179,0.025074697795250834,0.04692767484689468,3312,3312
Environmental Phenomena,Plants,Cosine,0.7449064310439975,0.027192310693866156,0.013009063418869567,3312,3312
Human Roles,Neutral Animals,Cosine,0.7255279030456586,0.028206405813274507,0.016138708059493776,3312,3312
Places,Plants,Cosine,0.6914711280447732,0.02495946879570648,0.013009063418869567,3312,3312
Environmental Phenomena,Spatial Concepts,Cosine,-0.6665427223117016,0.027192310693866156,0.04692767484689468,3312,3312
Cultural Artifacts,Time Concepts,Cosine,-0.6617555622938266,0.019643841880749136,0.03444165552159724,3312,3312
Plants,Social Relationships,Cosine,-0.6591835345910633,0.013009063418869567,0.025074697795250834,3312,3312
Human Roles,Spatial Concepts,Cosine,-0.6578287112852932,0.028206405813274507,0.04692767484689468,3312,3312
Inanimate Objects,Plants,Cosine,0.6201071228854386,0.02438653140332762,0.013009063418869567,3312,3312
Abstract Concepts,Neutral Animals,Cosine,0.6022819524442097,0.025683503044484607,0.016138708059493776,3312,3312
Environmental Phenomena,Neutral Animals,Cosine,0.5964929904123745,0.027192310693866156,0.016138708059493776,3312,3312
Cultural Artifacts,Food Items,Cosine,-0.5731321841722719,0.019643841880749136,0.03385396198594878,3312,3312
Neutral Animals,Places,Cosine,-0.5275637901588228,0.016138708059493776,0.02495946879570648,3312,3312
Neutral Animals,Social Relationships,Cosine,-0.5027705374072039,0.016138708059493776,0.025074697795250834,3312,3312
Inanimate Objects,Neutral Animals,Cosine,0.4628804867460583,0.02438653140332762,0.016138708059493776,3312,3312
Cultural Artifacts,Human Roles,Cosine,-0.46081604661501835,0.019643841880749136,0.028206405813274507,3312,3312
Inanimate Objects,Time Concepts,Cosine,-0.41788599516682007,0.02438653140332762,0.03444165552159724,3312,3312
