Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Environmental Phenomena,Spatial Concepts,Cosine,-1.4551748224996999,0.016193463188377458,0.059811520938672376,3312,3312
Food Items,Spatial Concepts,Cosine,-1.4143973041310516,0.01708724936247841,0.059811520938672376,3312,3312
Neutral Animals,Spatial Concepts,Cosine,-1.29302643892734,0.020645625558310104,0.059811520938672376,3312,3312
Social Relationships,Spatial Concepts,Cosine,-1.2726534446369528,0.02181663227661166,0.059811520938672376,3312,3312
Human Roles,Spatial Concepts,Cosine,-1.2299968910932206,0.022633864760476106,0.059811520938672376,3312,3312
Cultural Artifacts,Spatial Concepts,Cosine,-1.20934241526407,0.02250150125705426,0.059811520938672376,3312,3312
Inanimate Objects,Spatial Concepts,Cosine,-1.1681364024511702,0.02359014608880305,0.059811520938672376,3312,3312
Places,Spatial Concepts,Cosine,-1.130041424564449,0.024577553446896126,0.059811520938672376,3312,3312
Plants,Spatial Concepts,Cosine,-1.0591667083119651,0.025623545615932265,0.059811520938672376,3312,3312
Spatial Concepts,Time Concepts,Cosine,1.004052655185086,0.059811520938672376,0.027283044936156683,3312,3312
Abstract Concepts,Spatial Concepts,Cosine,-0.9720199844488767,0.028226307717628064,0.059811520938672376,3312,3312
Abstract Concepts,Environmental Phenomena,Cosine,0.5695314515987882,0.028226307717628064,0.016193463188377458,3312,3312
Environmental Phenomena,Time Concepts,Cosine,-0.528634687288044,0.016193463188377458,0.027283044936156683,3312,3312
Abstract Concepts,Food Items,Cosine,0.5191617844321509,0.028226307717628064,0.01708724936247841,3312,3312
Food Items,Time Concepts,Cosine,-0.4784889775407326,0.01708724936247841,0.027283044936156683,3312,3312
Environmental Phenomena,Plants,Cosine,-0.45351042941428327,0.016193463188377458,0.025623545615932265,3312,3312
Environmental Phenomena,Places,Cosine,-0.44026758959914664,0.016193463188377458,0.024577553446896126,3312,3312
Food Items,Plants,Cosine,-0.40404770243843974,0.01708724936247841,0.025623545615932265,3312,3312
