Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,big;bad;hot;other;new;good;more;much;real;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,big;great;good;more;other;real;new;much;little;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,big;bad;real;great;other;new;much;more;little;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,big;great;good;new;real;other;more;much;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,big;great;good;real;new;more;much;other;little;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,big;bad;new;great;real;much;other;more;little;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,big;great;good;real;new;much;more;other;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,big;good;real;new;great;other;more;much;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,big;good;new;real;great;other;more;much;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,love,big;great;good;new;real;much;more;other;little;same
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,big;great;good;new;real;other;more;much;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,big;great;good;new;real;other;more;much;same;little
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;other;metal;same;church;loud
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;white;good;other;red;same;long
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;good;other;same;long;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;other;metal;same;gold;silver
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;other;good;same;metal;silver
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;other;good;same;blue
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;other;same;white;black;funny
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;silver;other;good;same;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;other;same;nice;beautiful;real
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;silver;good;other;same;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;other;stone;same;nice;metal
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;other;same;nice;beautiful;white
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,cloud,big;small;white;grey;new;dark;good;other;same;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;bad;other;real;same;little;great;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,fog,big;thick;white;new;bad;other;real;same;little;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;other;real;bad;same;white;yellow;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rain,big;heavy;new;little;other;real;same;good;bad;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;other;same;nice;beautiful;little;much;real
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,snow,big;white;new;little;other;real;same;good;bad;cold
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,storm,big;strong;new;bad;other;real;same;little;great;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,thunder,big;loud;new;other;real;bad;same;much;strong;great
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;other;real;same;little;great;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,volcano,big;new;other;real;same;little;great;much;old;bad
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,wind,big;strong;new;cold;other;real;same;little;great;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,apple,big;small;red;green;new;good;other;same;nice;sweet
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,banana,big;small;yellow;new;good;other;same;nice;sweet;real
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,beef,big;new;good;other;same;real;cooked;little;much;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,bread,big;new;good;other;same;white;brown;real;little;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,broccoli,big;new;green;good;other;same;little;much;real;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,cheese,big;new;good;other;same;white;yellow;real;little;much
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,chicken,big;new;good;other;same;real;cooked;little;much;nice
gemini-2.0-flash,basic,1.0,IT # Italian,B1,most frequent,Food Items,egg,big;small;new;white;good;other;same;real;little;much
