Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;real;much;little;long;new;sudden
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,great;much;big;true;strong;little;good;more;new;real
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,big;much;strong;little;real;great;more;sudden;new;bad
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,much;big;new;real;good;more;little;great;true;political
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,much;big;true;real;great;little;good;more;new;simple
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,big;strong;much;real;true;more;little;bad;new;sudden
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,much;great;true;good;real;more;new;little;big;political
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,much;true;great;real;good;more;new;little;big;political
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,much;good;great;more;big;new;little;real;true;important
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,love,much;great;big;true;real;good;more;little;new;first
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,much;great;new;real;good;more;little;big;true;long
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,much;great;true;good;more;new;real;little;big;old
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;loud;metal;church;school;broken
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,new;small;big;white;red;good;long;short;wax;yellow
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,big;new;old;red;small;good;long;nice;cheap;clean
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,new;old;gold;silver;small;big;good;many;round;cheap
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;good;real;important;small;nice;heavy
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,big;new;small;red;white;blue;old;good;national;long
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,new;big;small;white;black;good;red;old;strange;party
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;good;long;small;big;nice;pretty;cheap
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,new;old;big;small;good;nice;pretty;red;blue;white
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;old;good;big;small;nice;pretty;diamond
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,big;new;old;small;good;white;stone;metal;tall;pretty
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,new;old;big;small;good;nice;glass;pretty;flower;red
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,big;white;black;grey;small;new;low;dark;many;rain
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;real;small;sudden;many;long;terrible
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,big;thick;new;heavy;cold;white;grey;much;real;bad
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,lightning,big;strong;bright;new;sudden;dangerous;much;loud;terrible;fast
gemini-2.0-flash,basic,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,rain,big;heavy;new;small;cold;much;long;light;bad;good
