Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,big;bad;strong;hot;red;much;sad;new;good;hard
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,big;much;strong;true;good;great;real;new;hard;important
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,big;much;strong;bad;real;new;little;good;hard;important
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,big;much;good;real;new;great;important;total;hard;true
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,big;much;good;true;new;great;real;hard;important;total
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,big;much;strong;bad;great;new;hard;little;total;important
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,much;good;true;real;important;great;total;hard;new;little
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,big;much;good;true;real;new;hard;important;equal;great
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,big;much;good;important;true;new;great;hard;total;real
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,big;much;good;true;real;new;great;hard;total;strong
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,big;much;good;true;new;real;great;important;hard;total
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,big;much;good;true;great;important;real;new;hard;total
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;hard;metal;loud;gold;church
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,big;small;white;new;old;good;wax;long;short;light
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;good;soft;hard;long;pretty
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;gold;silver;good;bad;metal;round
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,big;gold;new;old;good;pretty;important;royal;silver;small
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;blue;good;national;important
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;good;bad;pretty;hard
gemini-2.0-flash,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,necklace,long;short;gold;silver;new;old;good;pretty;small;big
