Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,bad;big;hot;strong;real;true;red;loud;new;long
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,big;good;true;strong;real;new;long;hard;right;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;bad;real;new;strong;dark;true;small;long;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,big;good;real;true;new;long;right;important;first;total
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,big;good;real;true;new;long;right;important;first;total
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,big;bad;real;true;new;long;strong;hard;right;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,big;good;real;true;new;long;right;important;first;total
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,big;good;real;true;new;long;right;important;first;hard
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,big;good;real;true;new;long;right;important;first;hard
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,big;good;real;true;new;long;right;important;first;hard
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,big;good;real;true;new;long;right;important;first;total
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,big;good;real;true;new;long;right;important;first;hard
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;loud;new;old;gold;metal;good;long;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,big;small;white;red;new;old;long;good;hot;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;small;red;new;old;long;soft;good;cheap;expensive
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,gold;silver;new;old;small;big;round;good;bad;metal
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,gold;big;small;new;old;long;important;real;first;king
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;small;red;white;blue;new;old;long;important;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,big;small;white;black;new;old;scary;good;bad;funny
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,gold;silver;big;small;new;old;long;good;beautiful;expensive
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;small;red;blue;new;old;good;bad;beautiful;famous
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;new;old;long;good;beautiful;expensive
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;small;white;black;new;old;long;good;beautiful;famous
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;white;new;old;long;good;beautiful;glass;expensive
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;dark;new;old;long;low
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;real;new;old;long;bad;first;last
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,big;small;white;grey;dark;new;old;long;bad;thick
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,big;bright;white;yellow;new;fast;long;strong;dangerous;first
gemini-2.0-flash,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,big;small;heavy;hard;new;old;long;good;bad;cold
