Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,bad;big;hot;sad;much;real;long;other;same;new
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,big;good;much;little;more;real;other;same;new;strong
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,big;bad;much;little;real;other;same;new;long;dark
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,big;much;real;other;same;new;good;long;important;political
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,big;good;much;real;other;same;new;long;true;important
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,big;much;bad;real;other;same;new;long;strong;deep
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,much;real;other;same;new;good;important;true;best;little
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,big;much;real;other;same;new;good;long;important;true
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,big;much;real;other;same;new;good;important;useful
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,big;much;good;real;other;same;new;long;strong;true
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,big;much;real;other;same;new;good;long;important;true
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,big;much;real;other;same;new;good;important;old;true
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;long;same;other;loud;school
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;good;long;same;other;white;red
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;good;long;same;other;red;blue
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;long;same;other;gold;silver
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;good;long;same;other;gold;king
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;good;long;same;other;red;blue
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;good;long;same;other;black;white
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;good;long;same;other;gold;silver
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;good;long;same;other;beautiful;nice
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;good;long;same;other;gold;silver
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;long;same;other;stone;white
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;good;long;same;other;glass;pretty
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,cloud,big;small;old;new;good;long;same;other;white;grey
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,earthquake,big;small;old;new;good;long;same;other;strong;bad
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,fog,big;small;old;new;good;long;same;other;white;thick
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,lightning,big;small;old;new;good;long;same;other;bright;strong
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rain,big;small;old;new;good;long;same;other;hard;heavy
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rainbow,big;small;old;new;good;long;same;other;colorful;pretty
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,snow,big;small;old;new;good;long;same;other;white;much
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,storm,big;small;old;new;good;long;same;other;strong;bad
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,thunder,big;small;old;new;good;long;same;other;loud;strong
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,tide,big;small;old;new;good;long;same;other;high;low
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,volcano,big;small;old;new;good;long;same;other;hot;active
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,wind,big;small;old;new;good;long;same;other;strong;cold
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,apple,big;small;old;new;good;long;same;other;red;green
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,banana,big;small;old;new;good;long;same;other;yellow;sweet
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,beef,big;small;old;new;good;long;same;other;red;raw
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,bread,big;small;old;new;good;long;same;other;white;brown
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,broccoli,big;small;old;new;good;long;same;other;green;fresh
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,cheese,big;small;old;new;good;long;same;other;yellow;white
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,chicken,big;small;old;new;good;long;same;other;white;fried
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,egg,big;small;old;new;good;long;same;other;white;yellow
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,fish,big;small;old;new;good;long;same;other;fresh;salty
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,pasta,big;small;old;new;good;long;same;other;yellow;dry
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,rice,big;small;old;new;good;long;same;other;white;much
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Food Items,soup,big;small;old;new;good;long;same;other;hot
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,artist,big;small;old;new;good;long;same;other;famous;great
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,athlete,big;small;old;new;good;long;same;other;strong;fast
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,chef,big;small;old;new;good;long;same;other;famous
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,doctor,big;small;old;new;good;long;same;other;important
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,engineer,big;small;old;new;good;long;same;other;important;clever
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,farmer,big;small;old;new;good;long;same;other;hard;poor
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,lawyer,big;small;old;new;good;long;same;other;clever;important
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,musician,big;small;old;new;good;long;same;other;famous
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,scientist,big;small;old;new;good;long;same;other;clever;important
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,soldier,big;small;old;new;good;long;same;other;strong;brave
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,teacher,big;small;old;new;good;long;same;other;important
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Human Roles,writer,big;small;old;new;good;long;same;other;famous
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,book,big;small;old;new;good;long;same;other;important;interesting
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,bridge,big;small;old;new;good;long;same;other;high
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,drums,big;small;old;new;good;long;same;other;loud;musical
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,earth,big;small;old;new;good;long;same;other;round;beautiful
gemini-2.0-flash,basic,1.0,FA # Persian,B1,most frequent,Inanimate Objects,flute,big;small;old;new;good;long;same;other;musical;silver
