Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,big;bad;strong;new;hard;good;real;long;little;first
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,good;big;hard;strong;real;new;first;important;much;little
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,big;bad;new;strong;real;little;much;hard;important;first
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,good;real;big;important;new;much;first;hard;long;political
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,big;good;real;new;much;first;hard;important;little;true
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;new;hard;good;much;first;little
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,good;real;big;important;new;hard;much;true;little;first
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,good;big;real;hard;new;social;first;important;political;much
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,good;big;new;hard;real;much;important;first;political;social
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,big;good;real;new;hard;much;true;first;long;little
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,good;big;new;real;hard;important;long;much;political;world
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,big;good;real;old;new;hard;much;true;important;first
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;loud;good;metal;first;broken;church
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,white;new;old;small;big;long;wax;good;first;broken
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,red;new;old;big;small;long;soft;good;first;turkish
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,gold;new;old;small;big;silver;first;euro;important;broken
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,gold;new;old;big;small;first;important;good;beautiful;broken
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,red;white;blue;new;old;big;small;first;national;broken
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,black;new;old;white;big;small;first;scary;important;good
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;big;small;long;first;important;beautiful
gemini-2.0-flash,basic,2.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,good;new;old;big;small;beautiful;red;first;important;abstract
