Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;hard;real;new;fast;long;sudden
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,great;true;real;big;much;hard;more;good;little;new
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;real;great;much;little;more;good;bad;new;strong
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,great;big;much;more;good;true;real;new;little;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,great;much;big;good;more;real;true;new;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,big;real;strong;bad;much;more;great;good;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,good;real;great;true;much;more;little;new;hard;big
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,good;real;great;more;much;true;little;new;hard;big
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,good;great;more;much;big;real;new;hard;true;little
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,big;real;much;great;true;good;more;little;new;strong
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,great;good;much;real;more;true;new;little;hard;big
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,great;good;much;more;real;new;big;hard;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;good;new;old;long;loud;white;metal;gold
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,small;white;big;new;old;good;long;short;red;yellow
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;good;long;hard;soft
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;round;big;good;real;little
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;good;real;small;long;short;silver
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;blue;white;long;good;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;black;white;hard;soft;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,gold;silver;long;short;big;small;new;old;good;red
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;real;long;short;red;blue
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;new;old;good;long;short;red
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;long;white;black;real;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;long;short;white;glass;red
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,big;white;small;grey;black;new;old;good;long;low
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;long;little;real;good;more
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,big;thick;white;grey;new;old;good;bad;real;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,fast;strong;bright;big;new;good;long;white;yellow;loud
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,big;hard;long;new;old;good;little;much;more;strong
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,big;bright;good;new;long;beautiful;high;more;much;real
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,white;big;small;new;old;good;hard;soft;much;cold
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;long;little;more;much;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;good;bad;new;old;real;long;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;old;good;bad;long;much;strong
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;new;old;good;bad;long;real;active
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,big;strong;hard;cold;hot;new;old;good;bad;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,apple,big;red;green;new;old;good;sweet;little;hard;yellow
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,banana,big;yellow;green;good;sweet;new;old;little;long;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,beef,good;red;new;old;big;little;hard;soft;much;more
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,bread,big;white;brown;new;old;good;hard;soft;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,broccoli,green;good;new;big;small;much;little;fresh;long;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,cheese,yellow;white;new;old;good;hard;soft;big;small;much
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,chicken,good;white;new;old;big;small;much;more;long;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,egg,big;white;new;old;good;hard;soft;little;long;fresh
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,fish,big;small;new;old;good;fresh;long;white;red;blue
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,pasta,big;small;new;old;good;white;yellow;long;short;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,rice,big;white;new;old;good;long;short;hard;soft;little
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Food Items,soup,good;hot;new;old;big;small;long;thick;white;fresh
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Human Roles,artist,good;great;big;new;young;old;famous;real;little;more
