Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,big;hot;bad;much;long;new;strong;dark;real;true
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,much;big;great;new;more;good;strong;real;true;brave
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,much;big;great;strong;real;new;dark;cold;bad;more
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,much;big;new;real;good;more;true;full;important;better
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,big;much;great;new;real;good;more;true;better;long
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,big;much;strong;real;more;bad;new;long;hot;cold
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,good;real;much;important;new;true;big;great;more;right
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,real;big;much;important;new;good;more;true;fair;better
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,big;much;new;important;more;good;great;real;true;right
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,big;much;new;real;good;more;true;strong;long;first
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,big;much;new;real;good;more;long;important;better;world
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,great;big;much;more;real;good;important;old;true;new
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;loud;good;metal;golden;church;school
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;big;new;old;white;wax;light;long;short;color
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,big;new;old;red;good;long;soft;beautiful;color;Persian
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,gold;new;old;silver;small;round;many;big;important;Europe
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;important;king;queen;small;beautiful;silver
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,big;new;old;color;national;good;small;long;important;red
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,new;big;small;white;black;face;strange;theater;good;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,necklace,gold;new;beautiful;small;long;silver;old;white;important;woman
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,painting,new;old;big;beautiful;good;color;wall;important;small;art
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,ring,gold;small;new;silver;beautiful;round;finger;important;old;big
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;good;white;important;bronze;tall;small
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Cultural Artifacts,vase,glass;flower;big;new;small;beautiful;old;white;water;color
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,cloud,big;white;gray;black;dark;rain;small;many;new;old
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;many;long;bad;important;real;last;after
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,fog,big;thick;white;gray;much;new;bad;cold;day;dark
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,lightning,big;strong;bright;fast;new;loud;flash;sky;dark;yellow
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rain,big;hard;heavy;new;much;long;good;light;cold;bad
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rainbow,beautiful;new;big;color;good;much;high;long;bright;sun
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,snow,white;big;much;cold;new;heavy;good;light;soft;winter
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,storm,big;strong;new;bad;heavy;much;rain;long;dark;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;new;dark;heavy;scary;much;long;deep
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,tide,high;low;big;new;sea;much;strong;day;moon;long
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;new;strong;important;high;danger;red;last
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;hot;much;good;bad;east;north
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,apple,red;green;big;new;good;sweet;small;healthy;juice;tree
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,banana,yellow;big;good;sweet;long;new;green;small;ripe;fresh
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,beef,good;red;big;new;cooked;grilled;much;fresh;meat;bad
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,bread,good;white;new;big;brown;fresh;old;much;small;warm
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,broccoli,green;good;fresh;new;big;small;much;healthy;cooked;old
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,cheese,good;white;yellow;new;big;small;old;much;hard;soft
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,chicken,good;new;cooked;big;fried;much;fresh;grilled;small;white
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,egg,white;big;new;chicken;good;cooked;fresh;small;yellow;hard
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,fish,good;fresh;big;cooked;small;new;fried;salty;blue;red
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,pasta,good;new;big;much;cooked;dry;small;long;italian;tomato
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,rice,white;big;much;good;new;cooked;long;brown;small;asian
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Food Items,soup,hot;good;new;much;big;vegetable;chicken;tomato;small;tasty
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,artist,good;famous;new;big;young;old;painter;musician;important;modern
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,athlete,good;young;new;big;fast;strong;famous;important;olympic;old
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,chef,good;famous;new;big;french;important;best;young;italian;restaurant
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,doctor,good;new;young;big;old;important;famous;best;patient;private
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,engineer,good;new;big;young;important;best;old;famous;civil;computer
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,farmer,good;old;new;young;big;small;important;land;happy;american
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,lawyer,good;new;big;important;famous;young;best;old;private;many
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,musician,good;famous;new;big;young;old;rock;guitar;classic;great
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,scientist,good;new;young;big;important;old;famous;best;great;mad
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,soldier,new;young;brave;big;strong;old;important;many;american;good
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,teacher,good;new;young;big;important;old;small;school;best;many
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Human Roles,writer,good;new;young;old;famous;big;important;great;small;many
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,book,new;good;old;big;small;long;interesting;important;school;many
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,bridge,big;new;old;long;strong;important;wood;small;high;road
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,drums,loud;big;new;small;old;rock;good;many;music;black
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,earth,big;round;new;old;green;blue;important;good;small;life
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,flute,new;old;good;small;silver;long;music;wood;beautiful;color
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,key,new;small;old;big;important;metal;house;good;gold;lost
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,knife,new;sharp;small;big;old;good;kitchen;silver;metal;black
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,lock,new;small;old;big;strong;important;key;metal;safe;house
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,moon,big;round;new;full;yellow;white;bright;dark;night;small
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,pen,new;small;black;blue;good;big;red;old;long;color
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,sun,big;hot;bright;yellow;new;good;strong;day;old;much
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Inanimate Objects,sword,long;new;old;big;small;sharp;steel;metal;silver;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,cat,small;black;white;new;good;big;young;old;fat;gray
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,dog,big;good;small;new;young;old;black;white;brown;happy
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,dolphin,big;new;good;smart;blue;ocean;gray;water;small;fast
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,elephant,big;new;old;gray;strong;small;important;zoo;heavy;african
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,hamster,small;new;cute;brown;big;old;young;good;fat;pet
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,monkey,small;new;funny;big;old;young;brown;zoo;good;tree
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,mouse,small;gray;new;old;white;big;house;cute;black;scary
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,peacock,beautiful;new;big;old;color;zoo;good;blue;green;strange
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,rabbit,small;white;new;cute;big;young;old;good;brown;pet
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,shark,big;new;old;dangerous;ocean;scary;small;gray;fish;strong
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,snake,long;new;big;dangerous;green;old;small;scary;brown;poison
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Neutral Animals,whale,big;blue;new;ocean;old;good;small;gray;long;sea
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,city,big;new;old;important;beautiful;small;many;good;modern;center
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,desert,big;hot;dry;new;old;sand;small;important;dangerous;sun
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,forest,big;green;new;old;small;many;good;trees;dark;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,island,small;big;new;beautiful;green;good;old;sea;water;tropical
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,lake,big;new;blue;small;old;water;deep;clean;good;beautiful
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,mountain,big;high;new;old;small;green;important;snow;cold;top
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,ocean,big;blue;deep;new;old;water;important;salt;good;world
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,plain,big;flat;new;green;small;old;good;long;dry;wind
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,plateau,high;big;flat;new;old;dry;small;mountain;desert;green
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,river,long;big;new;small;blue;water;deep;important;old;bridge
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,valley,green;big;new;small;deep;old;long;beautiful;good;mountain
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Places,village,small;new;old;big;quiet;green;beautiful;good;simple;home
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,cactus,green;big;tall;new;small;desert;old;dry;dangerous;sharp
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,eggplant,purple;big;new;long;old;small;good;fresh;food;cook
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,flower,beautiful;color;new;big;small;red;white;good;yellow;garden
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,grass,green;new;long;big;small;good;old;fresh;cut;garden
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,lettuce,green;fresh;new;big;small;good;healthy;garden;salad;crispy
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,mushroom,big;small;white;new;old;brown;good;eat;dangerous;forest
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,onion,big;small;new;white;good;old;strong;food;cook;raw
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,pepper,red;green;small;new;big;hot;good;black;spicy;long
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,potato,big;brown;new;small;white;old;good;eat;french;mash
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,rose,red;beautiful;new;big;small;good;old;pink;garden;white
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,tomato,red;new;big;good;fresh;small;salad;sauce;old;tasty
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Plants,tree,big;green;tall;new;old;small;good;strong;forest;dry
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,ally,good;big;new;strong;important;old;small;country;friend;war
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,brother,big;small;new;old;young;good;brotherly;older;younger;step
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,enemy,big;bad;new;old;strong;small;important;real;war;dangerous
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,father,good;old;new;big;small;young;fatherly;strong;important;best
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,follower,good;new;big;small;many;old;important;leader;social;famous
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,friend,good;new;old;best;big;small;important;true;many;long
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,leader,good;new;big;important;strong;young;old;famous;best;many
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,mother,good;old;new;big;small;young;important;motherly;best;strong
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,partner,good;new;big;small;old;business;important;strong;true;best
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,rival,big;new;strong;good;bad;old;small;important;sport;young
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,sister,big;small;new;old;young;good;older;sisterly;little;half
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Social Relationships,stranger,new;big;small;old;bad;dangerous;strange;good;friendly;quiet
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,above,high;big;new;small;old;blue;good;many;important;the
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,back,big;new;old;good;small;many;the;pain;black;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,below,low;big;new;small;old;good;many;deep;ground;the
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,east,big;new;far;old;small;good;north;south;near;west
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,front,big;new;old;good;small;many;the;car;black;white
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,inside,big;new;small;old;good;many;hot;cold;the;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,left,big;new;old;good;small;my;hand;turn;red;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,north,big;new;old;small;cold;good;south;east;far;important
gemini-2.0-flash,basic,2.0,UR # Urdu,B1,most frequent,Spatial Concepts,outside,big;new;small;old;good;many;hot;cold;the;green
