Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,hot;blind;burning;consuming;deep;righteous;suppressed;cold;simmering;uncontrollable
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,great;unwavering;quiet;moral;fierce;reckless;true;inner;amazing;inspiring
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,great;deep;irrational;paralyzing;consuming;overwhelming;common;primal;real;justified
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,great;political;personal;economic;individual;civil;religious;absolute;hard-won;limited
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;real;true;fleeting;genuine;deep;infectious;lasting
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,great;intense;irrational;consuming;blind;deep-seated;abiding;bitter;burning;visceral
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,complete;brutal;unwavering;simple;refreshing;admirable;transparent;essential;commendable;rare
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,social;equal;fair;true;swift;blind;rough;restorative;criminal;impartial
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,great;vast;practical;theoretical;scientific;esoteric;specialized;acquired;common;firsthand
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,love,great;true;unconditional;deep;passionate;romantic;selfless;brotherly;enduring;requited
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;inner;world;relative;negotiated;temporary;profound;genuine
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,great;ancient;practical;accumulated;collective;profound;spiritual;uncommon;intuitive;applied
gemini-2.0-flash,english-monolingual,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,loud;church;small;hand;brass;ringing;silent;warning;school;bronze
