Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,deep;burning;intense;uncontrollable;righteous;quiet;simmering;blind;explosive;suppressed
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,intense;blind;pent-up;burning;seething;righteous;uncontrolled;sudden;cold;simmering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,intense;blind;sudden;uncontrollable;deep-seated;righteous;suppressed;simmering;quiet;consuming
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,burning;hot;blind;seething;righteous;suppressed;sudden;uncontrollable;quiet;simmering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,hot;blind;deep;suppressed;righteous;cold;uncontrolled;consuming;bottled;quiet
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,unwavering;quiet;inner;newfound;selfless;fierce;remarkable;true;moral;physical
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,great;unwavering;quiet;moral;remarkable;exceptional;bold;infectious;inner;true
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,unwavering;fierce;quiet;moral;true;physical;unexpected;selfless;foolish;inherent
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,great;true;quiet;inner;moral;remarkable;selfless;incredible;unexpected;extraordinary
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,great;blind;moral;inner;true;quiet;fierce;remarkable;inspiring;unwavering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,crippling;irrational;deep-seated;gnawing;primal;consuming;paralysing;overwhelming;groundless;ingrained
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,overwhelming;crippling;irrational;abject;intense;deep-seated;primal;gnawing;pervasive;underlying
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,crippling;overwhelming;irrational;unfounded;primal;nagging;paralyzing;secret;deep-seated;underlying
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,great;deep;paralyzing;irrational;intense;common;real;abiding;nameless;overwhelming
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,great;paralyzing;irrational;overwhelming;real;deep-seated;underlying;ingrained;primal;debilitating
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,political;personal;economic;basic;fundamental;hard-won;individual;religious;absolute;limited
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,personal;political;economic;religious;intellectual;national;individual;limited;basic;fundamental
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,personal;national;political;economic;absolute;restricted;hard-won;conditional;precious;illusory
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,political;personal;civil;economic;individual;basic;complete;true;essential;national
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,political;personal;economic;religious;individual;absolute;limited;basic;civil;real
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,pure;simple;fleeting;genuine;infectious;lasting;inner;childlike;conditional;shared
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,pure;simple;great;unadulterated;genuine;complete;lasting;ephemeral;childlike;contagious
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,pure;simple;fleeting;genuine;infectious;profound;unexpected;childlike;shared;conditional
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,pure;true;simple;genuine;lasting;fleeting;inner;infectious;immense;complete
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,great;true;genuine;lasting;pure;simple;shared;unexpected;fleeting;perfect
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,burning;intense;bitter;deep-seated;irrational;blind;pure;virulent;mutual;visceral
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,intense;blind;seething;irrational;abiding;deep-seated;bitter;virulent;visceral;pathological
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,blind;burning;irrational;ingrained;deep-seated;pure;seething;virulent;underlying;visceral
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,blind;burning;irrational;consuming;pure;deep;intense;bitter;visceral;abiding
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,pure;deep;blind;consuming;irrational;intense;abiding;seething;burning;passionate
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;complete;genuine;sincere;painful;questionable;unflinching;basic;unwavering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,brutal;absolute;complete;simple;refreshing;inherent;remarkable;rare;admirable;unwavering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,brutal;refreshing;complete;unwavering;questionable;painful;absolute;simple;ethical;intrinsic
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;rare;true;utmost;simple;genuine;admirable;fundamental
