Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,intense;righteous;uncontrollable;sudden;simmering;cold;blind;suppressed;volcanic;seething
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,unwavering;steadfast;quiet;inner;fierce;blind;moral;physical;unexpected;calculated
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,paralyzing;irrational;crippling;deep-seated;overwhelming;consuming;lingering;nameless;primal;sudden
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,political;economic;personal;absolute;conditional;limited;fundamental;national;individual;basic
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,pure;simple;childlike;infectious;genuine;fleeting;quiet;overwhelming;unexpected;true
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,intense;burning;blind;irrational;consuming;simmering;deep-seated;mutual;ingrained;virulent
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;admirable;absolute;painful;unwavering;implicit;commendable;rare
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,social;restorative;criminal;legal;blind;rough;impartial;fair;delayed;swift
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,practical;extensive;specialized;scientific;detailed;theoretical;common;useful;gained;profound
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;true;romantic;maternal;paternal;brotherly;familial;selfless
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;negotiated;temporary;international;inner;superficial;enforced;regional
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,accumulated;practical;profound;inherent;ancient;inner;gained;acquired;timeless;conventional
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,ringing;bronze;church;dinner;school;clear;loud;hand;small;tower
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,flickering;scented;white;wax;tall;short;burning;decorative;ceremonial;colorful
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;shag;thick;red;worn;area;handmade;plush
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,gold;silver;bronze;ancient;valuable;rare;collectible;lucky;commemorative;foreign
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;ceremonial;silver;majestic;diamond;historical;king's;queen's
gemini-2.0-flash,english-monolingual,2.0,IT # Italian,B1,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;tattered;ceremonial;symbolic;protest;banner
