Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,great;intense;sudden;uncontrolled;deep;seething;righteous;burning;cold;irrational
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,great;inner;quiet;selfless;remarkable;true;blind;fierce;moral;physical
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,great;overwhelming;irrational;deep;abject;real;underlying;sudden;nameless;constant
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,political;personal;basic;individual;economic;guaranteed;limited;fundamental;religious;academic
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,great;genuine;pure;simple;unexpected;inner;real;childlike;lasting;transient
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,intense;blind;consuming;deep-seated;abiding;visceral;pathological;unreasoning;mutual;simmering
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,absolute;brutal;refreshing;unwavering;unquestionable;complete;radical;implicit;demonstrable;perceived
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,social;economic;rough;legal;swift;divine;ultimate;equal;fair;restorative
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,expert;practical;specialized;acquired;firsthand;empirical;extensive;esoteric;intuitive;theoretical
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,true;unconditional;passionate;deep;maternal;brotherly;enduring;first;requited;unrequited
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,world;inner;fragile;lasting;uneasy;negotiated;hard-won;relative;spiritual;temporary
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,great;ancient;accumulated;practical;collective;proverbial;inherent;conventional;spiritual;applied
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,small;large;church;school;dinner;brass;silver;bronze;crystal;distant
gemini-2.0-flash,english-monolingual,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,burning;flickering;scented;beeswax;tall;short;stubby;paraffin;wax;votive
