Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;new;real;hard;long;good;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,big;bad;strong;real;hot;sudden;silent;cold;public;private
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,big;hot;bad;real;true;sudden;deep;silent;cold;blind
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;righteous;cold;suppressed;simmering;uncontrollable;explosive
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,great;bad;hot;cold;real;fake;sudden;slow;deep;quiet
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,big;good;strong;real;new;hard;long;small;true;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,great;true;real;strong;new;little;public;personal;moral;physical
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,great;true;real;moral;physical;inner;quiet;blind;amazing;unexpected
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,great;true;unwavering;quiet;moral;physical;unexpected;remarkable;infectious;displayed
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,great;true;real;strong;moral;physical;quiet;unexpected;blind;fierce
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;bad;strong;new;real;hard;long;small;good;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,big;real;strong;new;little;public;personal;moral;physical;sudden
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,big;real;great;true;deep;dark;sudden;irrational;cold;paralyzing
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,great;real;irrational;deep-seated;paralyzing;overwhelming;constant;primal;lingering;unfounded
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,great;real;true;deep;dark;irrational;sudden;constant;paralyzing;primal
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,great;real;true;new;little;public;personal;political;economic;religious
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,real;true;great;political;economic;personal;basic;limited;new;hard
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,basic;fundamental;political;economic;personal;limited;hard-won;new;relative;illusory
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,great;true;real;political;economic;personal;religious;limited;conditional;hard-won
