Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;real;new;much;same;other;different
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,big;strong;good;real;much;same;other;new;little;different
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,big;bad;strong;real;much;same;other;new;little;different
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;much;same;other;new;little;different
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,big;good;real;much;same;other;new;little;different;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,big;small;good;new;old;same;other;different;metal;loud
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,big;small;good;new;old;same;other;different;white;hot
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,big;small;good;new;old;same;other;different;red;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,big;small;good;new;old;same;other;different;metal;gold
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,big;small;good;new;old;same;other;different;gold;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,big;small;good;new;old;same;other;different;red;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,big;small;good;new;old;same;other;different;white;black
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,big;small;good;new;old;same;other;different;gold;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,big;small;good;new;old;same;other;different;gold;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,big;small;good;new;old;same;other;different;white;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,big;small;good;new;old;same;other;different;nice;beautiful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,big;small;good;new;old;same;other;different;white;grey
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;same;other;different;real;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,big;small;good;new;old;same;other;different;white;bad
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,big;strong;bad;new;old;same;other;different;white;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rain,big;small;good;new;old;same;other;different;much;little
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rainbow,big;good;new;old;same;other;different;nice;beautiful;colorful
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,snow,big;small;good;new;old;same;other;different;white;cold
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;same;other;different;real;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,thunder,big;strong;bad;new;old;same;other;different;loud;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,tide,big;small;good;new;old;same;other;different;high;low
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,volcano,big;strong;bad;new;old;same;other;different;real;dangerous
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,wind,big;strong;good;new;old;same;other;different;cold;hot
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,apple,big;small;good;new;old;same;other;different;red;green
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,banana,big;small;good;new;old;same;other;different;yellow;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,beef,big;small;good;new;old;same;other;different;red;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,bread,big;small;good;new;old;same;other;different;white;brown
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,broccoli,big;small;good;new;old;same;other;different;green;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,cheese,big;small;good;new;old;same;other;different;white;yellow
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,chicken,big;small;good;new;old;same;other;different;white;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,egg,big;small;good;new;old;same;other;different;white;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,fish,big;small;good;new;old;same;other;different;nice;fresh
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,pasta,big;small;good;new;old;same;other;different;white;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,rice,big;small;good;new;old;same;other;different;white;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,soup,big;small;good;new;old;same;other;different;hot;nice
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,artist,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,athlete,big;small;good;new;old;same;other;different;strong;fast
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,chef,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,doctor,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,engineer,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,farmer,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,lawyer,big;small;good;new;old;same;other;different;nice;important
gemini-2.0-flash,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,musician,big;small;good;new;old;same;other;different;nice;important
