Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;new;real;hard;long;good;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,big;good;strong;real;new;hard;long;small;true;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;bad;strong;new;real;hard;long;small;good;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,big;bad;strong;new;real;hard;long;small;good;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,big;good;real;new;hard;long;small;true;fast;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;loud;metal;gold;silver
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;good;white;yellow;red;long;short
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;good;red;blue;green;long;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;gold;silver;metal;round;bad
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;silver;good;bad;important;real
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;good;red;blue;white;green;important
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;good;bad;white;black;red;scary
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;gold;silver;good;long;short;beautiful
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;good;bad;red;blue;green;beautiful
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;gold;silver;good;bad;round;beautiful
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;bad;white;black;stone;metal
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;good;bad;white;black;glass;beautiful
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;good;bad;high;low;new
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;new;old;bad;good;real;hard;long
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,big;small;white;grey;thick;thin;new;old;bad;good
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,big;bright;fast;strong;new;old;good;bad;white;yellow
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,big;small;hard;soft;new;old;good;bad;cold;warm
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,big;bright;colorful;new;old;good;beautiful;high;long;small
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,big;small;white;cold;new;old;good;bad;soft;hard
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;good;hard;long;fast;real
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;old;good;bad;real;hard;long
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,big;small;high;low;new;old;good;bad;strong;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,big;small;hot;new;old;good;bad;strong;real;dangerous
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,big;small;strong;new;old;good;bad;cold;hot;fast
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,apple,big;small;red;green;yellow;good;bad;new;old;sweet
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,banana,big;small;yellow;good;bad;new;old;sweet;long;short
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,beef,big;small;good;bad;new;old;red;hard;soft;cheap
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,bread,big;small;good;bad;new;old;white;brown;hard;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,broccoli,big;small;green;good;bad;new;old;hard;soft;fresh
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,cheese,big;small;good;bad;new;old;white;yellow;hard;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,chicken,big;small;good;bad;new;old;white;yellow;hard;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,egg,big;small;good;bad;new;old;white;yellow;hard;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,fish,big;small;good;bad;new;old;white;fresh;salty;cheap
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,pasta,big;small;good;bad;new;old;white;yellow;hard;soft
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,rice,big;small;good;bad;new;old;white;long;short;cheap
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Food Items,soup,big;small;good;bad;new;old;hot;cold;thick;thin;salty
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Human Roles,artist,big;small;good;bad;new;old;famous;young;real
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Human Roles,athlete,big;small;good;bad;new;old;strong;fast;young
gemini-2.0-flash,think-in-native,0.0,AR # Arabic,B1,most frequent,Human Roles,chef,big;small;good;bad;new;old;famous;young;real
