Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;new;real;same;little;good
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,big;strong;good;much;real;new;same;little;important;true
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;much;strong;new;little;real;same;bad;good;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,big;much;strong;new;little;real;same;bad;good;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,love,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,big;much;good;real;new;same;little;important;true;different
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;loud;same;different;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;white;same;different;long;short
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;red;same;different;long;soft
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;good;gold;same;different;round;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;good;gold;same;different;important;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;red;same;different;important;national
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;white;same;different;important;scary
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;good;gold;same;different;long;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;red;same;different;beautiful;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;good;gold;same;different;round;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;white;same;different;important;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;white;same;different;beautiful;glass
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,big;small;white;grey;dark;new;old;good;bad;same
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,big;small;white;grey;dark;new;old;good;bad;same
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;old;good;bad;same;different;fast;bright
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,big;small;new;old;good;bad;same;different;strong;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,big;new;old;good;same;different;beautiful;colorful;bright;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,big;strong;new;old;good;bad;same;different;important;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,big;strong;new;old;good;bad;same;different;loud;scary
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,big;small;new;old;good;bad;same;different;strong;high
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;good;bad;same;different;important;hot
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,big;small;new;old;good;bad;same;different;strong;cold
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,apple,big;small;red;green;new;old;good;bad;same;sweet
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,banana,big;small;yellow;new;old;good;bad;same;sweet;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,beef,big;small;red;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,bread,big;small;white;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,broccoli,big;small;green;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,cheese,big;small;yellow;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,chicken,big;small;new;old;good;bad;same;different;much;white
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,egg,big;small;white;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,fish,big;small;new;old;good;bad;same;different;much;fresh
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,pasta,big;small;new;old;good;bad;same;different;much;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,rice,big;small;white;new;old;good;bad;same;different;much
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,soup,big;small;new;old;good;bad;same;different;much;hot
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,artist,big;small;new;old;good;bad;same;different;important;famous
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,athlete,big;small;new;old;good;bad;same;different;important;strong
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,chef,big;small;new;old;good;bad;same;different;important;famous
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,doctor,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,engineer,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,farmer,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,lawyer,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,musician,big;small;new;old;good;bad;same;different;important;famous
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,scientist,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,soldier,big;small;new;old;good;bad;same;different;important;strong
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,teacher,big;small;new;old;good;bad;same;different;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,writer,big;small;new;old;good;bad;same;different;important;famous
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;bad;same;different;important;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,bridge,big;small;new;old;good;bad;same;different;important;long
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,drums,big;small;new;old;good;bad;same;different;loud;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,earth,big;small;new;old;good;bad;same;different;important;round
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,flute,big;small;new;old;good;bad;same;different;long;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,key,big;small;new;old;good;bad;same;different;important;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,knife,big;small;new;old;good;bad;same;different;sharp;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,lock,big;small;new;old;good;bad;same;different;important;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,moon,big;small;new;old;good;bad;same;different;round;bright
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,pen,big;small;new;old;good;bad;same;different;important;black
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,sun,big;small;new;old;good;bad;same;different;bright;hot
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,sword,big;small;new;old;good;bad;same;different;sharp;metal
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,cat,big;small;new;old;good;bad;same;different;black;white
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;bad;same;different;black;white
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,dolphin,big;small;new;old;good;bad;same;different;grey;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,elephant,big;new;old;good;bad;same;different;grey;important;strong
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,hamster,big;small;new;old;good;bad;same;different;brown;cute
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,monkey,big;small;new;old;good;bad;same;different;brown;funny
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,mouse,big;small;new;old;good;bad;same;different;grey;scary
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,peacock,big;small;new;old;good;bad;same;different;beautiful;colorful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,rabbit,big;small;new;old;good;bad;same;different;white;cute
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,shark,big;new;old;good;bad;same;different;grey;scary;strong
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,snake,big;small;new;old;good;bad;same;different;green;scary
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,whale,big;new;old;good;bad;same;different;grey;important;strong
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,city,big;small;new;old;good;bad;same;different;important;beautiful
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,desert,big;small;new;old;good;bad;same;different;hot;dry
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,forest,big;small;new;old;good;bad;same;different;green;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,island,big;small;new;old;good;bad;same;different;beautiful;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,lake,big;small;new;old;good;bad;same;different;beautiful;important
gemini-2.0-flash,think-in-native,0.0,TH # Thai,B1,most frequent,Places,mountain,big;small;new;old;good;bad;same;different;important;high
