Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;real;true;new;old;much;little
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,big;strong;good;real;true;new;old;much;little;great
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;bad;strong;real;true;new;old;much;little;great
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;true;new;old;much;little;great
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,big;good;strong;real;true;new;old;much;little;great
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,big;good;real;true;new;old;much;little;great;important
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;loud;soft;metal;gold
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;good;bad;white;red;yellow;blue
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;good;bad;red;blue;green;long
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;bad;gold;silver;metal;round
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;good;bad;gold;silver;metal;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;good;bad;red;blue;white;long
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;good;bad;white;black;funny;scary
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;good;bad;gold;silver;long;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;good;bad;red;blue;green;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;good;bad;gold;silver;metal;round
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;bad;stone;metal;white;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;good;bad;white;red;blue;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;dark;light;high;low;many
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;new;old;good;bad;real;true
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,big;small;white;grey;dark;light;new;old;good;bad
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,big;strong;fast;bright;new;old;good;bad;white;yellow
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,big;small;strong;weak;new;old;good;bad;much;little
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,big;small;new;old;good;bad;red;blue;green;beautiful
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;old;good;bad;much;little;cold
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,big;strong;new;old;good;bad;much;little;dark;scary
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,big;strong;loud;new;old;good;bad;much;little;scary
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,big;small;high;low;new;old;good;bad;much;little
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;good;bad;hot;strong;real;true
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,big;small;strong;weak;new;old;good;bad;much;little
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,apple,big;small;red;green;yellow;new;old;good;bad;sweet
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,banana,big;small;yellow;new;old;good;bad;sweet;long;short
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,beef,big;small;red;new;old;good;bad;much;little;cheap
gemini-2.0-flash,think-in-native,0.0,TR # Turkish,B1,most frequent,Food Items,bread,big;small;new;old;good;bad;white;brown;much;little
