Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;real;true;other;same;new
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,big;much;real;true;strong;good;other;same;new;little
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,big;much;real;true;strong;bad;other;same;new;little
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,big;much;real;true;good;other;same;new;little;more
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,big;much;real;true;strong;bad;other;same;new;little
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,big;much;real;true;good;other;same;new;little;more
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,big;much;real;true;good;other;same;new;little;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;loud;other;same;metal
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;good;white;other;same;wax;long
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;good;red;other;same;soft;long
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;good;gold;other;same;metal;round
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;good;other;same;metal;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;good;red;other;same;long;important
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;good;bad;other;same;white;black
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;gold;good;other;same;long;beautiful
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;good;bad;other;same;beautiful;colorful
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;gold;good;other;same;metal;round
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;bad;other;same;stone;metal
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;good;beautiful;other;same;glass;flower
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,big;small;old;new;white;black;other;same;grey;dark
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,big;small;old;new;strong;bad;other;same;real;dangerous
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,big;small;old;new;white;grey;other;same;thick;bad
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,big;small;old;new;bright;white;other;same;dangerous;fast
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,big;small;old;new;good;bad;other;same;much;heavy
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,big;small;old;new;good;colorful;other;same;beautiful;bright
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,big;small;old;new;white;good;other;same;cold;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,big;small;old;new;strong;bad;other;same;dangerous;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,big;small;old;new;loud;strong;other;same;bad;scary
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,big;small;old;new;high;low;other;same;strong;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,big;small;old;new;hot;dangerous;other;same;active
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,big;small;old;new;strong;cold;other;same;hot;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,apple,big;small;old;new;red;green;good;other;same;sweet
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,banana,big;small;old;new;yellow;good;other;same;sweet;long
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,beef,big;small;old;new;good;bad;other;same;red;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,bread,big;small;old;new;good;white;other;same;brown;fresh
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,broccoli,big;small;old;new;green;good;other;same;fresh;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,cheese,big;small;old;new;good;white;other;same;yellow;strong
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,chicken,big;small;old;new;good;white;other;same;fresh;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,egg,big;small;old;new;good;white;other;same;fresh;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,fish,big;small;old;new;good;fresh;other;same;much;sea
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,pasta,big;small;old;new;good;white;other;same;long;much
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,rice,big;small;old;new;good;white;other;same;much;long
gemini-2.0-flash,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,soup,big;small;old;new;good;hot;other;same;much;vegetable
