Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,big;bad;strong;hot;new;real;long;dark;much;same
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,big;strong;new;good;real;much;true;right;great;long
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,big;bad;strong;real;much;dark;same;new;long;little
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,big;good;real;much;long;new;important;right;true;same
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,big;good;real;new;much;long;same;great;little;right
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;much;new;long;same;little;right
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,big;good;real;much;new;long;right;important;true;same
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,big;good;real;much;new;long;right;true;important;same
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,big;good;much;new;real;long;important;right;great;true
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,big;good;real;new;much;long;same;great;true;right
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,big;good;real;new;long;much;same;right;important;true
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,big;good;real;much;new;long;important;true;right;same
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;loud;same;long;white;metal
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;white;good;long;red;same;hot
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;red;long;same;small;nice;blue
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;same;metal;silver;round;good
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,big;gold;new;old;good;important;same;long;small;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,big;new;old;good;red;long;same;small;white;national
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;good;same;long;red
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,big;new;gold;old;good;silver;long;small;same;nice
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,big;new;old;good;nice;long;same;small;real;beautiful
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,big;small;gold;new;old;good;silver;same;nice;long
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,big;new;old;good;white;real;same;long;small;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;white;same;long;nice;glass
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,cloud,big;small;white;grey;new;dark;good;long;same;much
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;real;much;long;bad;same;great;little
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,fog,big;thick;white;new;much;long;bad;same;real;dark
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,lightning,big;bright;new;fast;strong;much;long;real;same;white
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rain,big;hard;new;much;long;good;small;bad;same;light
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;bright;long;much;same;beautiful;nice;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,snow,big;white;new;much;long;good;small;cold;same;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,storm,big;strong;new;much;long;bad;dark;real;same;great
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;much;long;bad;real;same;great
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;much;long;same;strong;good;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,volcano,big;new;old;hot;real;much;long;same;strong;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;much;long;good;bad;same;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,apple,big;small;red;green;new;good;long;same;nice;sweet
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,banana,big;small;yellow;new;good;long;same;nice;sweet;green
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,beef,big;good;new;much;red;long;same;cheap;expensive;fresh
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,bread,big;new;old;good;white;brown;long;same;small;fresh
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,broccoli,big;green;new;good;much;long;same;small;fresh;nice
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,cheese,big;new;old;good;white;yellow;long;same;small;hard
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,chicken,big;new;old;good;white;long;same;small;fresh;much
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,egg,big;small;new;old;white;good;long;same;fresh;brown
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,fish,big;small;new;old;good;fresh;long;same;white;blue
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,pasta,big;new;good;long;same;small;much;yellow;white;dry
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,rice,big;new;good;much;long;same;white;small;dry
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,soup,big;hot;new;good;much;long;same;cold;nice;vegetable
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,artist,big;new;old;good;famous;same;young;great;real;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,athlete,big;new;old;good;strong;same;young;famous;great;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,chef,big;new;old;good;famous;same;young;great;important;nice
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,doctor,big;new;old;good;same;young;important;nice;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,engineer,big;new;old;good;same;young;important;nice;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,farmer,big;new;old;good;same;young;important;nice;small;real
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,lawyer,big;new;old;good;same;young;important;nice;real;famous
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,musician,big;new;old;good;famous;same;young;great;nice;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,scientist,big;new;old;good;same;young;important;nice;real;famous
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,soldier,big;new;young;old;good;strong;same;important;real;brave
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,teacher,big;new;old;good;same;young;important;nice;real;kind
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Human Roles,writer,big;new;old;good;famous;same;young;great;real;important
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;long;same;important;nice;interesting
gemini-2.0-flash,think-in-native,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;good;important;same;small;high;white
