Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,bad;big;hot;long;other;sad;same;small;strong;true
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,big;good;strong;true;little;right;new;long;hard;great
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,big;bad;little;strong;new;right;real;hard;same;good
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,big;good;new;real;right;little;long;same;important;great
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,big;good;true;real;little;new;long;great;right;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;new;little;long;right;same;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,big;good;true;real;right;new;little;same;long;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,big;good;true;real;right;new;little;same;long;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,big;good;much;new;important;real;little;right;long;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,love,big;good;true;real;new;little;long;right;same;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,big;good;new;long;real;right;little;same;hard;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,big;good;much;new;real;right;little;long;same;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;right;same;hard;long;silver
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,big;small;white;new;old;good;red;long;same;hot
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;red;long;same;small;hard;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,old;new;gold;silver;big;small;good;right;same;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,gold;big;old;new;good;right;same;small;hard;important
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,big;new;old;good;red;white;small;same;long;blue
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,big;new;old;good;black;white;small;same;hard;red
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;good;long;small;same;big;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,good;new;old;big;small;red;long;same;hard;nice
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;new;old;good;same;nice;right
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,big;old;new;good;white;same;hard;small;right;stone
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;glass;right;same;nice;hard
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;black;small;new;good;same;bad;long
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;good;long;real;hard;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,big;thick;white;grey;bad;new;old;good;same;little
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,lightning,big;strong;bright;new;good;bad;real;long;right;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,rain,big;hard;strong;new;old;good;bad;long;little;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;nice;long;same;right;real;bright;much
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,snow,big;white;new;old;good;much;little;cold;hard;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;good;long;hard;real;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;bad;new;old;good;long;hard;real
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;old;good;bad;strong;long;same
gemini-2.0-flash,think-in-native,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;new;old;good;bad;real;long;hard
