Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,big;strong;bad;hot;hard;real;sudden;new;same;other
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,great;real;strong;true;good;much;new;more;big;same
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,big;great;much;strong;real;little;new;more;bad;same
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,great;much;real;good;more;new;big;same;little;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,great;much;real;good;more;little;new;same;big;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,big;strong;much;real;bad;great;new;same;hard;little
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,real;great;much;good;true;more;big;little;new;same
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,great;real;good;much;more;new;big;same;little;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,good;much;great;real;more;new;big;same;little;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,great;much;good;real;true;more;big;little;new;same
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,great;good;real;much;more;new;big;same;little;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,great;good;real;much;more;new;big;same;little;true
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;loud;same;white;black;church
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,small;big;white;new;old;good;same;red;more;long
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;red;same;more;small;blue;nice
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;good;same;more;gold;silver;round
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,gold;new;old;big;small;good;same;more;silver;nice
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,big;new;old;good;red;same;more;small;white;blue
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,new;old;big;small;good;same;more;white;black;red
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,new;old;gold;silver;small;big;good;same;more;nice
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,new;old;big;small;good;same;more;nice;red;blue
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;old;small;big;good;same;more;nice
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,big;new;old;good;small;same;more;white;stone;nice
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,vase,new;old;big;small;good;same;more;nice;red;white
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;new;old;good;same;more;black;small
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;old;good;same;more;bad;real;small
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,fog,big;thick;new;old;good;same;more;white;grey;real
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;old;good;same;more;bright;white;yellow
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rain,big;heavy;new;old;good;same;more;small;hard;long
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rainbow,big;new;old;good;same;more;nice;pretty;small;real
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,snow,big;white;new;old;good;same;more;small;cold;much
gemini-2.0-flash,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,storm,big;strong;new;old;good;same;more;bad;real;small
