Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,bad;big;hot;new;old;sad;hard;strong;much;little
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,big;strong;good;hard;little;much;real;true;great;fine
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,big;much;little;bad;old;new;strong;real;great;long
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,big;good;much;real;new;old;little;important;different;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,big;good;much;new;real;great;little;more;long;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,big;bad;much;strong;old;new;real;great;hard;long
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,good;real;big;much;new;old;important;hard;true;great
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,big;good;much;real;new;old;hard;important;true;great
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,big;good;much;new;old;important;hard;little;more;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,big;good;much;real;new;old;hard;little;long;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,big;good;much;real;new;old;important;long;little;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,big;good;much;new;old;important;real;little;great;true
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;loud;long;metal;golden;silver
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;white;red;yellow;long;short;wax
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;green;good;long;soft
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;silver;metal;round;hard;good
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;gold;silver;good;beautiful;important;royal
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;blue;good;long;important
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;good;bad;scary;funny
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;silver;long;short;beautiful;good
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;beautiful;red;blue;green;important
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;silver;good;beautiful;important;round
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;stone;metal;good;beautiful;important;white
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;good;beautiful;white;red;blue
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,big;small;white;grey;dark;new;old;high;low;much
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,big;small;new;old;strong;bad;long;hard;much;important
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,big;small;new;old;white;thick;thin;bad;much;gray
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,big;bright;new;old;strong;white;yellow;fast;much;dangerous
gemini-2.0-flash,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,big;small;new;old;hard;soft;good;much;long;cold
