Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,anger,big;bad;good;hot;new;old;strong;hard;long;real
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,courage,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;bad;good;new;old;strong;hard;long;real;small
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,freedom,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,happiness,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,hate,big;bad;good;new;old;strong;hard;long;real;small
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,honesty,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,justice,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,love,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,peace,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,big;good;real;new;old;strong;hard;long;small;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;long;round;loud;hard
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;white;long;short;hard;soft
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;bad;long;soft;hard;red
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;good;bad;gold;silver;hard;round
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;good;bad;gold;silver;hard;important
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;bad;long;short;red;white
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;bad;long;short;hard;soft
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;good;bad;long;short;gold;silver
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;bad;long;hard;beautiful;nice
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;good;bad;gold;silver;hard;round
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;bad;hard;long;important;white
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;bad;hard;long;beautiful;nice
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,cloud,big;small;new;old;white;grey;dark;light;good;bad
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,earthquake,big;small;new;old;strong;hard;long;bad;important;real
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,fog,big;small;new;old;white;grey;dark;light;good;bad
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,lightning,big;small;new;old;white;yellow;bright;fast;good;bad
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,rain,big;small;new;old;good;bad;hard;soft;long;short
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,rainbow,big;small;new;old;good;colorful;long;short;beautiful;nice
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,snow,big;small;new;old;white;cold;good;bad;hard;soft
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,storm,big;small;new;old;good;bad;strong;hard;long;dark
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,thunder,big;small;new;old;loud;good;bad;strong;hard;long
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,tide,big;small;new;old;good;bad;strong;hard;long;high
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;hot;good;bad;strong;hard;long
gemini-2.0-flash,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,wind,big;small;new;old;good;bad;strong;hard;long;cold
