Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,bad;big;hot;other;strong;red;new;same;different;good
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,big;real;great;good;new;more;much;different;strong;true
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,big;strong;real;other;same;new;bad;good;more;different
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,real;good;new;more;great;important;much;same;other;different
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,real;good;big;new;more;same;much;great;other;little
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;new;more;much;other;same;different
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,real;good;big;new;same;more;other;much;great;important
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,real;good;new;same;big;more;other;important;great;much
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,good;big;more;new;important;same;real;much;great;other
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,big;good;real;new;more;same;other;much;different;first
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,good;real;new;big;more;same;other;great;important;much
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,great;good;real;more;big;new;same;important;other;much
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,big;old;new;good;small;other;same;metal;long;loud
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,big;small;new;white;red;long;old;good;same;other
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,big;new;old;red;good;small;other;same;nice;long
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,old;new;small;gold;big;silver;same;other;little;metal
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;good;small;great;same;other;real
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,flag,big;new;red;small;white;good;old;other;same;different
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,mask,big;new;small;white;black;other;same;good;different;real
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,necklace,gold;new;long;good;small;big;same;other;pretty;nice
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,painting,good;big;new;old;same;other;nice;small;great;beautiful
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,ring,gold;new;old;small;big;good;silver;same;other;nice
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,statue,big;old;new;small;white;good;great;same;other;important
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;good;same;other;nice;white
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;small;dark;new;good;other;same;more
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;bad;other;same;little;more;good;real
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,fog,big;thick;white;grey;bad;new;old;more;same;other
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;white;good;bad;same;other;more;little
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rain,big;strong;new;much;little;good;other;bad;same;long
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;nice;other;same;more;colorful;little;different
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,snow,big;white;new;much;good;cold;little;same;other;more
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;good;same;other;more;long;great
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,thunder,big;strong;loud;new;same;other;good;more;bad;much
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;good;same;other;more;strong;little
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,volcano,big;new;old;hot;good;same;other;more;little;strong
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,wind,big;strong;new;good;cold;hot;same;other;more;little
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Food Items,apple,red;green;big;small;new;good;sweet;other;same;more
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Food Items,banana,yellow;big;small;new;good;sweet;other;same;more;little
gemini-2.0-flash,think-in-native,1.0,HE # Hebrew,B1,most frequent,Food Items,beef,good;big;new;red;same;other;more;little;much;different
