Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,anger,big;hot;bad;red;new;much;some;real;hard;other
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,courage,great;strong;real;true;big;new;much;some;good;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,fear,big;bad;great;much;real;strong;little;some;good;other
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,freedom,much;real;great;true;big;new;good;political;some;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,happiness,big;great;true;much;real;some;new;good;little;long
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,hate,big;much;bad;great;real;some;little;new;strong;hot
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,honesty,much;real;great;big;true;new;some;good;hard;important
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,justice,real;true;great;good;new;social;some;much;big;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,knowledge,much;great;good;real;important;new;big;some;hard;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,love,big;much;good;great;real;true;new;some;little;hot
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,peace,real;true;great;good;big;new;some;world;much;long
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,wisdom,great;much;good;real;true;big;old;new;some;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;school;church;much;some;other
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,candle,big;small;new;white;red;yellow;some;good;little;hot
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,carpet,big;new;red;old;good;much;some;small;nice;cheap
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,coin,old;new;silver;gold;small;big;some;much;good;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;great;some;important;much;little;beautiful
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,flag,big;red;new;old;white;some;national;good;little;much
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,mask,big;new;black;white;small;some;good;old;other;much
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;big;small;some;good;long;much;beautiful
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,painting,big;new;old;good;beautiful;much;some;great;other;small
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;new;old;some;good;little;much
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,statue,big;old;new;gold;some;great;good;little;beautiful;stone
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;beautiful;some;good;little;much
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;small;dark;some;much;good;new;little
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;some;much;great;little;other;important
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,fog,big;thick;much;some;little;new;grey;bad;other;great
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,lightning,big;strong;bright;new;much;some;little;dangerous;good;other
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rain,big;heavy;strong;new;much;little;some;good;bad;cold
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rainbow,big;beautiful;new;some;much;little;good;colourful;other;long
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,snow,big;white;new;much;some;little;good;cold;bad;soft
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;some;much;great;little;dangerous;long
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;much;some;little;good;bad;great
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;some;much;little;good;other;bad
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;new;some;much;little;dangerous;great;other
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;much;little;some;good;bad;hot
gemini-2.0-flash,think-in-native,2.0,LV # Latvian,B1,most frequent,Food Items,apple,red;green;big;new;some;much;little;good;bad;sweet
