Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,big;bad;strong;new;little;long;hot;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,big;strong;good;great;true;real;important;hard;little;last
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,big;strong;bad;real;new;little;first;important;last;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,big;important;real;new;good;little;first;last;same;other
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,big;great;real;new;good;little;long;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,big;strong;bad;new;little;long;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,big;good;real;new;important;little;hard;same;other;last
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,big;good;important;real;new;hard;little;same;different;last
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,big;good;important;new;real;hard;little;long;same;other
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,love,big;good;real;new;little;long;hard;first;same;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,big;good;real;new;long;little;first;same;important;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,big;good;great;real;new;important;old;same;different;last
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,big;old;good;little;new;long;same;different;first;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,big;new;old;little;good;white;long;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;little;long;first;same;different;red
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,new;old;little;good;silver;first;same;different;small;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;important;little;first;same;different;great
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,big;new;old;red;white;blue;little;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,big;new;old;little;good;black;white;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,necklace,new;old;gold;silver;long;little;same;different;important;beautiful
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,painting,big;new;old;good;little;long;first;same;different;beautiful
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,gold;new;old;silver;little;first;same;different;beautiful;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,big;new;old;good;little;first;same;different;important;white
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,new;old;good;little;beautiful;big;first;same;different;white
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,big;new;white;grey;black;little;high;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;bad;little;long;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,big;new;white;grey;bad;little;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,big;new;bright;fast;strong;first;same;different;important;good
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,big;new;strong;little;long;hard;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;bright;beautiful;long;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,new;white;cold;little;first;same;different;important;good;big
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;long;first;same;different;important;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,big;strong;loud;bad;new;little;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,big;new;high;low;little;first;same;different;important;long
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,big;strong;new;old;high;important;little;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,big;strong;new;cold;good;bad;little;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,apple,red;green;new;good;little;first;same;different;big;sweet
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,banana,yellow;new;good;little;first;same;different;big;long;ripe
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,beef,new;good;big;little;hard;first;same;different;important;red
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,bread,new;good;white;black;brown;little;big;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,broccoli,green;new;good;little;big;first;same;different;important;long
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,cheese,new;good;white;yellow;hard;soft;little;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,chicken,new;good;little;big;white;first;same;different;important;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,egg,new;white;good;big;little;first;same;different;important;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,fish,new;good;little;big;first;same;different;important;long;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,pasta,new;good;little;big;long;hard;soft;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,rice,new;white;good;little;big;first;same;different;important;long
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Food Items,soup,hot;new;good;big;little;first;same;different;important;long
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,artist,good;new;young;old;big;little;famous;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,athlete,good;new;young;old;big;little;strong;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,chef,good;new;big;little;important;first;same;different;famous;old
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,doctor,good;new;big;little;young;old;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,engineer,good;new;big;little;hard;important;first;same;different;young
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,farmer,good;new;old;big;little;first;same;different;important;hard
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,lawyer,good;new;big;little;young;old;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,musician,good;new;young;old;big;little;famous;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,scientist,good;new;big;little;young;old;important;first;same;different
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,soldier,good;new;young;old;big;little;strong;brave;first;same
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,teacher,good;new;big;little;young;old;first;same;different;important
gemini-2.0-flash,think-in-native,2.0,RU # Russian,B1,most frequent,Human Roles,writer,good;new;young;old;big;little;famous;important;first;same
