Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,anger,strong;sudden;deep;great;real;big;quick;hot;silent;cold
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,courage,great;real;true;strong;big;quiet;silent;brave;new;much
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,fear,great;deep;real;big;sudden;strong;silent;cold;quick;true
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,freedom,great;real;true;full;new;big;personal;political;complete;much
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,happiness,great;real;true;full;big;much;deep;simple;quiet;new
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,hate,deep;great;real;strong;big;cold;sudden;silent;true;much
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,honesty,real;true;great;full;simple;much;complete;open;quiet;big
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,justice,real;true;great;social;much;full;simple;open;big;complete
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,knowledge,great;real;true;much;deep;new;full;big;simple;complete
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,love,true;real;great;deep;big;new;much;strong;first;simple
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,peace,real;true;great;full;much;deep;quiet;new;complete;simple
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,wisdom,great;real;true;much;deep;old;simple;full;big;complete
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;round;heavy;metal
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;thin;simple
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;green;soft;long;thick;clean
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;round;rare;clean;dirty
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,crown,gold;big;small;old;new;silver;heavy;royal;beautiful;rich
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,flag,national;big;small;red;white;blue;old;new;green;simple
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,mask,white;black;red;big;small;old;new;simple;strange;funny
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,necklace,gold;silver;big;small;old;new;long;short;beautiful;simple
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,painting,old;new;big;small;beautiful;famous;simple;modern;classic;colorful
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;old;new;round;simple;beautiful;clean
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;bronze;famous;beautiful;white;tall
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;white;blue;red;simple;beautiful;clean
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,cloud,white;big;small;dark;grey;light;high;low;soft;thick
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;sudden;real;great;quick;deep;bad
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,fog,thick;white;heavy;light;cold;morning;grey;low;soft;wet
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;big;sudden;white;loud;real;fast;great
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;big;small;strong;soft;hard;quick
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rainbow,bright;big;small;beautiful;colorful;real;new;full;clear;high
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;heavy;light;deep;fresh;clean;new;thick
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,storm,big;strong;heavy;sudden;great;real;quick;cold;bad;loud
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;sudden;real;great;quick;heavy;deep;bad
gpt-4.1,basic,0.0,LV # Latvian,B1,most frequent,Environmental Phenomena,tide,high;low;big;small;strong;fast;slow;real;quick;great
