Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,strong;intense;deep;bitter;sudden;high;wild;fierce;hot;quick
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;true;constant;solid;genuine;high;clear;steady
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,deep;strong;heavy;real;awful;dark;sudden;sharp;intense;wild
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,true;clear;full;big;real;open;pure;deep;high;free
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,deep;strong;real;true;bright;warm;full;pure;gentle;clear
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,deep;strong;bitter;fierce;intense;wild;sharp;high;cold;hard
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,pure;real;true;clear;good;firm;simple;fair;high;quiet
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,true;fair;strong;firm;clear;good;deep;real;high;pure
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,deep;strong;real;true;clear;broad;full;high;good;simple
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,deep;strong;real;true;good;warm;bright;pure;calm;kind
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,quiet;deep;calm;true;good;full;clear;warm;simple;strong
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,deep;strong;real;clear;old;true;good;high;lasting;calm
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,small;old;clear;loud;big;round;shiny;simple;good;thin
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,small;bright;thin;hot;new;old;clear;soft;warm;short
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,soft;thick;old;bright;clean;new;warm;full;good;neat
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,small;round;old;shiny;bright;new;hard;real;clear;heavy
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,golden;royal;bright;heavy;old;fine;true;big;rich;pure
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;clear;true;strong;old;new;simple;high
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,old;thin;dark;clear;real;new;plain;good;simple;soft
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,golden;bright;small;round;old;fine;real;clear;soft;true
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,old;bright;clear;full;real;true;deep;good;bold;fine
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,small;round;bright;shiny;old;good;fine;true;clear;pure
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,big;old;strong;true;fine;clear;pure;real;high;bold
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,small;clear;fine;old;bright;good;pure;real;thin;round
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,white;soft;big;light;high;deep;pure;real;full;dark
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;sudden;hard;real;fierce;heavy;rough;wild
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,thick;white;deep;dark;heavy;soft;full;dull;cold;low
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;clear;fast;wild;sharp;hot;real;deep
o3-mini,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rain,wet;soft;heavy;cold;real;clear;deep;strong;quick;light
