Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;deep;high;sudden;hot;wild;bad;great;fierce;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,brave;bold;strong;true;clear;kind;great;big;firm;pure
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,deep;strong;sudden;big;high;real;cold;dark;sharp;heavy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,true;great;pure;clear;full;wide;strong;big;high;real
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,true;deep;bright;pure;full;great;big;high;real;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,strong;deep;high;bad;wild;great;heavy;clear;sharp;dark
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;good;real;plain;bright;firm;kind;full
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,true;fair;good;real;clear;strong;big;high;deep;proper
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,deep;clear;good;strong;true;big;high;full;great;real
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,true;deep;pure;real;good;big;strong;warm;full;kind
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,deep;true;calm;clear;full;good;pure;high;great;quiet
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,deep;true;good;real;old;clear;great;high;pure;smart
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,small;round;old;clear;loud;bright;neat;heavy;big;plain
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,small;thin;bright;old;clear;good;long;pure;calm;warm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;soft;neat;old;pure;clear;nice;deep;bright;good
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,small;round;old;bright;clear;good;neat;real;pure;thin
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,big;old;bright;clear;good;strong;high;neat;pure;fine
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;clear;bright;full;good;true;strong;neat;pure;real
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,small;old;clear;good;neat;pure;strong;dark;wild;soft
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,small;old;neat;good;clear;bright;pure;fine;real;fancy
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;old;bright;clear;good;neat;pure;deep;real;fine
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,small;round;old;clear;bright;neat;good;pure;fine;real
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;old;strong;clear;good;neat;real;pure;firm;tall
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,small;old;clear;neat;good;bright;pure;fine;round;tall
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;white;soft;light;high;low;dark;clear;true;calm
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;high;sudden;heavy;dark;wild;real;fierce
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,thick;low;dark;soft;real;deep;full;clear;high;pale
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;clear;high;fast;wild;real;deep;sudden
