Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,anger,big;bad;strong;sudden;hot;deep;quick;loud;fierce;blind
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,courage,brave;strong;good;true;great;bold;quiet;steady;firm;clear
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,fear,big;strong;bad;sudden;cold;deep;dark;quiet;real;sharp
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,freedom,big;good;full;true;great;new;clear;easy;total;pure
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,happiness,big;good;real;full;bright;warm;true;simple;deep;pure
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;blind;pure;cold;bitter;dark;fierce;old
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,honesty,true;good;simple;clear;full;strong;pure;real;bright;firm
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;clear;quick;blind;pure;firm;right
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,knowledge,big;good;deep;wide;new;true;clear;full;simple;strong
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,love,big;strong;true;pure;deep;warm;real;great;sweet;blind
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,peace,quiet;good;true;deep;full;warm;long;clear;pure;strong
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;clear;full;simple;strong;pure;wide
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;white;red;long;soft
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;thick;colorful;dirty;clean;warm
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;rare;dirty
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;heavy;shiny;royal;beautiful;broken;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;red;blue;white;torn
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;scary;funny;plastic;broken
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;beautiful;long;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;famous;simple;dark;bright
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;beautiful;simple;broken
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;famous;broken;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;ceramic;beautiful;broken;colorful;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;fluffy;dark;high;fast;light;cold
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;fast;long;rare;dangerous;loud
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;wet;heavy;low;quiet;early;late;dark
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,lightning,fast;bright;loud;sudden;dangerous;white;hot;rare;long;strong
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;steady;fast;soft;warm;long;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;rare;clear;full;short;wet;high
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;heavy;pure;quiet
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,storm,big;strong;loud;wet;fast;dark;sudden;long;dangerous;cold
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;long;scary;rare;fast;bad;clear
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;cold;wet;steady;dangerous;quiet
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;dangerous;tall;black;rare;strong;deep
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;quiet;steady;hot;wet;wild
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;juicy;hard;ripe;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,banana,yellow;long;big;small;sweet;fresh;soft;ripe;bad;straight
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,beef,fresh;good;bad;red;tough;soft;hot;cold;lean;fatty
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;warm;hot;bad;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;bad;raw;cooked;soft;crunchy
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;bad;creamy
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,chicken,fresh;cooked;raw;big;small;white;brown;hot;cold;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,egg,fresh;old;big;small;white;brown;hard;soft;broken;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,fish,fresh;big;small;silver;colorful;wild;cooked;raw;bad;fast
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,pasta,hot;cold;soft;hard;fresh;dry;long;short;simple;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,rice,white;brown;cooked;raw;hot;cold;soft;hard;fresh;bad
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,soup,hot;cold;thick;thin;fresh;bad;creamy;clear;simple;tasty
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,artist,good;bad;young;old;famous;creative;talented;simple;quiet;busy
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,athlete,strong;fast;good;young;old;famous;fit;skilled;active;tall
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,chef,good;bad;young;old;famous;skilled;busy;creative;clean;quick
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,doctor,good;bad;young;old;famous;busy;kind;smart;helpful;tired
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,engineer,good;bad;young;old;smart;busy;skilled;creative;helpful;strong
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,farmer,old;young;strong;busy;simple;hardworking;good;bad;rich;poor
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,lawyer,good;bad;young;old;smart;busy;famous;helpful;strict;rich
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,musician,good;bad;young;old;famous;talented;creative;busy;skilled;loud
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,scientist,smart;good;bad;young;old;famous;busy;creative;helpful;quiet
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;trained;loyal;tough
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,teacher,good;bad;young;old;kind;strict;helpful;smart;busy;patient
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Human Roles,writer,good;bad;young;old;famous;creative;talented;busy;quiet;smart
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,book,old;new;big;small;thick;thin;interesting;boring;colorful;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,bridge,big;old;new;long;strong;high;metal;wooden;broken;simple
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,drums,big;small;loud;old;new;wooden;metal;simple;broken;colorful
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,earth,big;old;green;blue;round;wet;dry;hot;cold;beautiful
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,flute,small;old;new;wooden;metal;simple;broken;clear;loud;soft
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,key,small;old;new;metal;shiny;broken;simple;black;silver;lost
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,knife,sharp;dull;big;small;old;new;metal;wooden;clean;dirty
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,lock,old;new;small;big;metal;broken;simple;strong;rusty;secure
grok-3-mini,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,moon,big;small;bright;dark;full;new;old;cold;round;beautiful
