Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;sudden;bad;quick;bitter;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;big;quiet;sudden;blind;raw;bitter
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,big;cold;deep;sudden;strong;quick;bad;dark;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,great;true;big;new;strong;quick;bad;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,great;true;big;new;strong;quick;good;warm;fresh;bright
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;quick;bitter;raw;intense;blind;dark;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,true;good;strong;simple;clear;quick;bad;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,fair;strong;good;true;quick;bad;raw;intense;blind;dark
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,great;deep;true;new;strong;quick;bad;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,great;true;big;deep;strong;quick;good;warm;fresh;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,quiet;good;true;deep;strong;quick;bad;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,great;true;deep;old;strong;quick;bad;raw;intense;blind
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;broken;shiny;metal;round
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;broken;shiny;white;round
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;dirty;clean;red;thick;thin
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;dirty;metal;round;heavy;light;valuable
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;gold;heavy;royal;broken;beautiful;strong
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;red;blue;national;high;dirty
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;scary;funny;broken;plastic;soft
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;silver;beautiful;long;light
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;broken;dark;bright;simple
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,ring,small;old;new;shiny;gold;silver;beautiful;heavy;light;broken
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;broken;tall;beautiful;strong
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,vase,small;big;old;new;broken;colorful;glass;clay;beautiful;light
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;high;fast;dark;light;soft;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;fast;dark;light;old;new
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;heavy;bad;deep;fast;dark;light;soft
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;bad;deep;dark;light;hot;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;bad;fast;dark;strong;sudden;soft
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;fast;dark;light;strong;sudden;soft
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;bad;fast;dark;strong;sudden
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,storm,strong;bad;fast;dark;heavy;light;cold;hot;big;small
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;bad;deep;fast;dark;light;hot;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;bad;deep;dark;light;hot;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;dangerous;deep;fast;dark;light;strong;sudden
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,wind,strong;fast;cold;hot;bad;deep;dark;light;soft;heavy
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;bad;hard;soft
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;soft;bad;long;curved;ripe
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,beef,fresh;cooked;big;small;red;bad;hot;cold;soft;hard
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,bread,fresh;soft;white;brown;big;small;bad;hot;cold;hard
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,broccoli,green;fresh;big;small;bad;soft;hard;cooked;raw;healthy
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;bad;big;small;creamy;sharp;mild
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,chicken,fresh;cooked;big;small;white;bad;soft;hard;hot;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,egg,fresh;white;brown;big;small;bad;soft;hard;cooked;raw
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,fish,fresh;big;small;silver;bad;soft;hard;cooked;raw;wild
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,pasta,cooked;soft;hard;fresh;bad;long;short;white;yellow;hot
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,rice,white;cooked;soft;hard;fresh;bad;long;short;hot;cold
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Food Items,soup,hot;cold;thick;thin;fresh;bad;tasty;creamy;vegetable;meat
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,artist,creative;talented;young;old;good;bad;famous;quiet;busy;happy
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;bad;fit;tall;quick;skilled
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,chef,skilled;busy;good;bad;young;old;creative;fast;happy;clean
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,doctor,skilled;busy;good;bad;young;old;kind;smart;quick;helpful
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,engineer,skilled;smart;good;bad;young;old;busy;creative;fast;helpful
grok-3-mini,basic,1.0,PT # Portuguese,B1,most frequent,Human Roles,farmer,hard-working;strong;good;bad;young;old;busy;simple;happy;clean
