Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,hot;strong;deep;sudden;big;bad;quick;wild;dark;intense
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,brave;strong;big;good;true;great;bold;steady;firm;clear
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,strong;big;sudden;dark;cold;bad;quick;deep;wild;real
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,big;true;good;full;new;open;strong;clear;easy;fast
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,great;full;big;good;true;warm;bright;real;simple;strong
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;dark;quick;big;cold;wild;real;sudden
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,true;good;clear;simple;strong;real;full;bright;easy;fair
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;clear;full;real;simple;big;right
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,great;deep;full;true;good;wide;strong;clear;real;new
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,true;deep;strong;big;good;warm;real;full;simple;sweet
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,good;full;quiet;strong;clear;real;simple;warm;easy;bright
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;clear;strong;real;full;good;simple;wise
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,big;old;new;loud;small;bright;clear;simple;heavy;round
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,small;bright;new;old;warm;simple;tall;short;light;soft
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,big;old;new;soft;heavy;simple;clean;dirty;warm;thick
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;heavy;simple;round;gold;silver;light
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;heavy;gold;simple;royal;bright;strong
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,big;old;new;colorful;simple;clean;bright;national;long;high
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,small;old;new;simple;colorful;light;dark;fun;scary;strong
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,small;old;new;shiny;simple;gold;bright;long;light;pretty
grok-3-mini,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,big;old;new;beautiful;simple;colorful;bright;clear;dark;nice
