Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,strong;bad;great;sudden;quiet;big;small;new;old;fast
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,brave;strong;great;big;small;true;false;new;old;sudden
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;strong;sudden;cold;dark;deep;quiet;bad;new;old
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,great;full;true;new;old;big;small;strong;fast;wide
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,great;full;big;true;new;old;bright;warm;simple;pure
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;cold;dark;bitter;quiet;big;sudden;old
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,true;full;simple;big;small;new;old;strong;clear;direct
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,fair;true;strong;big;small;new;old;quick;clear;full
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;new;old;big;small;strong;simple;basic
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,love,true;deep;big;strong;new;old;warm;pure;simple;blind
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,quiet;full;true;new;old;big;small;warm;simple;deep
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;new;big;small;strong;clear;simple
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;metal;round;shiny;broken
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;soft;thin;tall;colored
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;thick;colorful;clean;dirty;warm
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;dirty;metal;round;heavy;light;gold
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;shiny;heavy;royal;beautiful;broken
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;high;clean;dirty;red
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;colorful;scary;funny;plastic;wooden;hidden
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;shiny;gold;silver;beautiful;heavy;light
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;famous;simple;dark;bright
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,small;old;new;shiny;gold;silver;beautiful;simple;heavy;light
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;beautiful;broken;famous
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;colorful;glass;broken;tall;simple
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;fluffy;dark;high;light;fast;cold
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;old;new;fast;quiet;long
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;white;gray;cold;heavy;quiet;early;late;soft;low
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;sudden;white;hot;dangerous;high;long;wild
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;fast;soft;long;short;wet
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;small;rare;high;low;clear;short
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;old;big;small
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;fast;dark;loud;sudden;long;short;cold
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;long;short;scary;big;fast;old
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;quiet;big;small;warm;cold;full
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;old;new;active;quiet;dangerous;hot;high;dark;red
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;fast;slow;wild;quiet;north;east
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,apple,red;green;big;small;sweet;sour;fresh;old;juicy;hard
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;green;big;small;sweet;soft;fresh;old;long;curved
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,beef,fresh;old;red;cooked;raw;tough;soft;big;small;hot
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;big;small;warm;sweet
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,broccoli,green;fresh;big;small;crunchy;soft;raw;cooked;healthy;bitter
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;big;small
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,chicken,fresh;cooked;raw;white;brown;big;small;tender;tough;hot
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,egg,fresh;old;white;brown;big;small;hard;soft;boiled;raw
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,fish,fresh;old;big;small;silver;colorful;wild;farmed;cooked;raw
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,pasta,long;short;cooked;raw;soft;hard;white;colored;hot;fresh
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,rice,white;brown;cooked;raw;long;short;soft;hard;fresh;old
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;spicy;fresh;old;clear;creamy
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;unknown;good;bad;busy;happy
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,athlete,strong;fast;young;old;skilled;fit;famous;unknown;good;bad
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,chef,skilled;busy;young;old;famous;good;bad;creative;fast;happy
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,doctor,skilled;busy;young;old;famous;good;bad;kind;strict;helpful
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,engineer,skilled;smart;young;old;famous;good;bad;busy;creative;helpful
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,farmer,hard-working;strong;young;old;good;bad;busy;poor;rich;happy
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,lawyer,smart;busy;young;old;famous;good;bad;strict;helpful;rich
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,musician,talented;creative;young;old;famous;good;bad;busy;happy;skilled
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,scientist,smart;curious;young;old;famous;good;bad;busy;creative;helpful
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;trained;busy;loyal;tough
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,teacher,kind;strict;young;old;good;bad;busy;helpful;smart;patient
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Human Roles,writer,creative;talented;young;old;famous;good;bad;busy;happy;skilled
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;boring;thick;thin;colorful;hard
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,bridge,old;new;big;small;strong;weak;high;low;wooden;metal
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,drums,big;small;old;new;loud;soft;wooden;metal;shiny;broken
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,earth,big;old;green;blue;round;beautiful;dry;wet;hot;cold
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,flute,small;old;new;wooden;metal;shiny;soft;loud;simple;broken
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,key,small;old;new;metal;shiny;broken;simple;big;light;heavy
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,knife,sharp;dull;old;new;metal;wooden;big;small;clean;dirty
grok-3-mini,basic,1.0,TH # Thai,B1,most frequent,Inanimate Objects,lock,old;new;metal;broken;strong;weak;big;small;simple;complex
