Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;sudden;bad;quick;personal;hidden;intense;blind
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,great;true;personal;quiet;strong;bold;natural;simple;pure;clear
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;real;dark;strong;hidden;cold;basic;natural
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,full;true;personal;great;simple;new;basic;pure;clear;real
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,great;true;pure;simple;deep;quick;real;full;natural;bright
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;pure;sudden;personal;dark;quick;real;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,full;true;simple;pure;clear;natural;basic;real;deep;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,true;fair;full;simple;clear;natural;pure;strong;real;basic
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,great;deep;basic;simple;true;full;natural;clear;real;pure
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,true;deep;pure;simple;strong;real;natural;clear;great;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,full;true;quiet;simple;deep;real;natural;pure;clear;warm
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,great;true;deep;simple;clear;natural;pure;real;quiet;full
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;simple;round;broken
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;white;simple;warm;broken
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;clean;dirty;thick;simple;colorful;warm
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,small;old;new;metal;shiny;simple;round;dirty;broken;gold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;simple;heavy;broken;royal;round
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;simple;national;dirty;bright;clean
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;simple;colorful;broken;dark;soft;plastic
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;shiny;simple;gold;broken;colorful;light
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;simple;colorful;broken;dark;bright
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,ring,small;old;new;gold;shiny;simple;broken;colorful;heavy;light
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;simple;broken;tall;beautiful;cold;heavy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;broken;simple;colorful;glass;beautiful;clean
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;soft;light;high;simple;fast;cold
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;natural;bad;fast;real;violent;rare
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,fog,thick;light;cold;white;simple;wet;dark;heavy;low;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;natural;white;hot;simple;wild;quick
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;strong;simple;fast;dark;soft;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;simple;natural;wide;clear;full;big;rare
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;simple;wet;fresh;heavy;pure
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;fast;simple;wet;cold;loud;violent
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;simple;natural;wild;dark;fast;heavy
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;simple;wet;fast;cold;natural;big;quiet
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,volcano,big;active;hot;dangerous;simple;natural;old;wild;deep;tall
grok-3-mini,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,wind,strong;light;cold;fast;simple;wild;hot;quiet;natural;dry
