Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;deep;sudden;hot;blind;great;raw;intense;furious;wild
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,brave;strong;big;good;true;quiet;fast;new;old;young
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,big;deep;sudden;cold;dark;strong;quick;real;bad;hidden
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,great;full;new;true;big;open;fast;strong;good;pure
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,great;true;big;warm;full;real;good;quick;deep;bright
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;cold;pure;bad;great;quick;dark;wild
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,true;good;full;simple;clear;strong;real;pure;open;fair
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,fair;good;strong;true;blind;pure;quick;great;clear;full
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;strong;new;old;good;real;simple
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;great;warm;real;quick;full;blind
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,quiet;true;deep;full;strong;good;warm;real;pure;new
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;strong;good;pure;clear;real;simple
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;shiny;broken;gold;red
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;white;red;soft;broken
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;red;blue;dirty;clean;thick;thin
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;heavy;light;rare;dirty
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,big;gold;shiny;old;new;heavy;royal;broken;red;simple
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,big;old;new;red;blue;white;torn;clean;high;bright
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;scary;funny;broken;soft
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;shiny;broken;red;blue;simple
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;dark;bright;broken;red;blue
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;shiny;broken;simple;red;heavy
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;broken;tall;shiny;white;strong;simple
grok-3-mini,basic,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;broken;shiny;blue;red;tall;simple
