Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,anger,angry;strong;big;sudden;hot;blind;deep;great;little;old
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,courage,brave;strong;big;true;great;small;new;old;quick;good
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,fear,big;strong;sudden;great;little;dark;cold;real;old;bad
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,freedom,great;big;new;true;full;little;old;good;strong;easy
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,happiness,big;great;true;full;little;new;old;good;real;warm
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,hate,strong;big;deep;great;little;old;new;bad;cold;blind
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,honesty,true;good;big;little;old;new;real;strong;simple;clear
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,justice,true;good;big;fair;strong;little;old;new;right;clear
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,big;great;new;old;good;true;deep;little;real;strong
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,love,great;big;true;deep;little;old;new;good;strong;warm
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,peace,great;big;true;good;little;old;new;quiet;warm;real
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,great;big;true;old;good;little;new;deep;strong;clear
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;simple;broken
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;white;simple;long;soft
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;warm;red;clean;dirty;thick
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,coin,small;old;new;metal;shiny;gold;silver;round;light;fake
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;heavy;shiny;royal;simple;broken;beautiful
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;national;simple;torn;colorful
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;scary;simple;funny;plastic;protective
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;simple;beautiful;heavy
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;simple;dark;bright;famous
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;shiny;simple;broken;beautiful;cheap
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;tall;simple;broken;beautiful;famous
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;beautiful;broken;simple;colorful;tall
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;soft;light;cold;wet;moving
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;real;old;new;dangerous;powerful
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;dark;wet;bad;real;early;quiet
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;dangerous;white;sudden;real;big;hot;wild
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;steady;soft;hard;long;real;warm
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;clear;rare;wet;high;simple;full
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;hard;beautiful;quiet
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;dangerous;loud;dark;wet;fast;real;sudden
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;scary;sudden;real;big;dark;wild;long
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;cold;wet;big;small;wild;dangerous
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;dangerous;old;new;tall;deep;wild;real
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;wild;hot;gentle;dry;real;big
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;hard;old
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,banana,yellow;big;small;sweet;fresh;ripe;soft;long;green;curved
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,beef,fresh;cooked;red;tough;tender;hot;cold;good;bad;big
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,bread,fresh;soft;warm;white;brown;old;hard;good;simple;big
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;raw;cooked;good;tough;wet
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;old;good;strong;simple;warm;big
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;hot;cold;tender;good;raw
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;hard;soft;cooked;raw;broken
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,fish,fresh;big;small;silver;cooked;raw;good;wet;fast;wild
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,pasta,hot;cooked;soft;long;short;simple;good;fresh;dry;yellow
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,rice,white;cooked;soft;dry;hot;cold;simple;good;long;small
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Food Items,soup,hot;cold;thick;thin;good;fresh;simple;tasty;red;clear
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,artist,good;young;old;famous;creative;talented;big;small;happy;busy
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,athlete,strong;fast;young;good;tall;fit;famous;skilled;big;active
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,chef,good;young;old;famous;busy;skilled;creative;big;happy;clean
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,doctor,good;young;old;busy;skilled;helpful;famous;smart;kind;tired
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,engineer,smart;young;old;good;busy;skilled;creative;big;helpful;strong
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,farmer,strong;old;young;busy;good;hard-working;simple;big;kind;poor
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,lawyer,smart;busy;good;young;old;famous;helpful;strong;kind;rich
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,musician,good;young;old;famous;talented;creative;busy;happy;skilled;big
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,scientist,smart;good;young;old;famous;busy;creative;helpful;skilled;curious
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;trained;busy;tough;loyal
grok-3-mini,basic,1.0,FR # French,B1,most frequent,Human Roles,teacher,good;young;old;helpful;busy;kind;smart;patient;famous;creative
