Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,anger,strong;hot;quick;sudden;deep;bad;big;small;long;short
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,courage,strong;big;great;brave;good;true;fast;quiet;deep;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,fear,strong;big;sudden;deep;bad;dark;cold;quick;real;great
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,freedom,big;good;true;full;new;strong;great;fast;real;happy
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,happiness,big;good;true;full;great;bright;warm;real;strong;new
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;cold;big;dark;quick;real;hard;full
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,honesty,good;true;big;real;strong;simple;clear;full;bright;pure
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,justice,good;true;big;strong;fair;clear;hard;real;deep;full
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,knowledge,big;good;deep;true;full;strong;new;clear;real;simple
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,love,strong;big;true;deep;good;warm;real;full;bright;pure
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,peace,good;true;big;quiet;warm;full;real;deep;strong;clear
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Abstract Concepts,wisdom,big;good;deep;true;strong;clear;full;real;pure;simple
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,bell,big;small;loud;old;new;shiny;clear;metal;round;broken
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,candle,small;big;bright;old;new;hot;white;long;thin;melted
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;dirty;clean;red;thick;warm;heavy
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;gold;heavy;flat;rare
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;round;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,flag,big;old;new;red;blue;national;long;high;clean;bright
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,mask,small;big;black;old;new;funny;scary;hard;clean;soft
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,necklace,small;big;shiny;old;new;gold;long;beautiful;heavy;bright
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,painting,big;old;new;beautiful;colorful;bright;dark;simple;clear;soft
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,ring,small;big;shiny;old;new;gold;round;hard;heavy;simple
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,statue,big;old;new;tall;strong;metal;stone;broken;clear;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;broken;pretty;glass;tall;round;colorful
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;soft;fast;cold;wet;light
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;deep;bad;fast;real;long;hard;scary
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,fog,thick;cold;wet;heavy;grey;deep;quiet;bad;long;slow
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,lightning,fast;bright;hot;sudden;strong;big;real;scary;long;clear
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;fast;light;soft;bad;long;strong;warm
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rainbow,bright;beautiful;colorful;big;clear;real;high;soft;full;long
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;big;pure;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;fast;dark;loud;cold;long;wet;real
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;big;deep;scary;long;fast;real;bad
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,tide,strong;high;low;fast;deep;cold;wet;big;quiet;long
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;deep;strong;old;new;high;dangerous;red
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,wind,strong;fast;cold;hot;light;big;quiet;wet;dry;long
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;hard;clean;round
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,banana,yellow;long;big;small;sweet;soft;fresh;ripe;clean;curved
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,beef,fresh;cooked;red;big;hot;soft;good;bad;dry;fatty
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,bread,fresh;soft;white;big;hot;dry;good;bad;round;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;good;bad;raw;cooked;wet
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;big;small;good;bad;creamy;sharp
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;hot;soft;good;bad;dry
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,egg,fresh;white;big;small;hard;soft;broken;clean;good;bad
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,fish,fresh;big;small;silver;wet;good;bad;cooked;raw;cold
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,pasta,hot;soft;long;white;fresh;good;bad;dry;cooked;big
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,rice,white;cooked;hot;soft;dry;fresh;good;bad;long;small
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Food Items,soup,hot;warm;good;bad;thick;thin;fresh;clear;big;cold
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,artist,good;bad;young;old;creative;talented;famous;quiet;hard;real
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,athlete,strong;fast;good;bad;young;old;tall;fit;skilled;real
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,chef,good;bad;young;old;skilled;busy;clean;fast;creative;real
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,doctor,good;bad;young;old;busy;skilled;kind;smart;real;hard
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,engineer,good;bad;young;old;skilled;smart;busy;real;hard;creative
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,farmer,good;bad;young;old;strong;busy;hard;real;kind;simple
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,lawyer,good;bad;young;old;smart;busy;real;hard;skilled;fair
grok-3-mini,basic,1.0,GA # Irish,B1,most frequent,Human Roles,musician,good;bad;young;old;talented;creative;real;loud;quiet;famous
