Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,intense;blind;raw;sudden;deep;boiling;righteous;suppressed;explosive;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;quiet;righteous;suppressed;explosive;bitter;cold
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;blind;righteous;suppressed;explosive;simmering;uncontrolled
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;raw;blind;suppressed;righteous;simmering;explosive
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;simmering;explosive;quiet;righteous;suppressed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,brave;bold;heroic;unwavering;moral;physical;quiet;foolish;innate;displayed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,brave;unwavering;heroic;quiet;bold;innate;foolish;moral;physical;inspiring
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,brave;heroic;unwavering;bold;fearless;moral;quiet;sudden;inspiring;steadfast
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,unwavering;bold;heroic;quiet;moral;innate;fearless;steadfast;admirable;indomitable
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,brave;bold;heroic;unwavering;moral;physical;quiet;foolish;innate;displayed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep;sudden;paralyzing;primal;overwhelming;hidden;creeping;unfounded
grok-3-mini,english-monolingual,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;primal;hidden;paralyzing;creeping;unfounded
grok-3-mini,english-monolingual,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,intense;overwhelming;sudden;irrational;deep;paralyzing;creeping;primal;hidden;constant
grok-3-mini,english-monolingual,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,overwhelming;primal;irrational;creeping;paralyzing;sudden;deep-seated;instinctive;nagging;intense
grok-3-mini,english-monolingual,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;primal;hidden;paralyzing;creeping;instinctive
