Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;angry;fast;bad;deep;sudden;intense;common;destructive;hot
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,brave;strong;big;heroic;necessary;rare;good;important;true;fearless
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,scary;big;dark;cold;sudden;strong;bad;deep;common;intense
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,free;big;good;important;rare;true;strong;necessary;happy;new
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,happy;big;good;bright;warm;common;true;strong;easy;full
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,bad;strong;deep;angry;common;intense;dark;cold;sudden;destructive
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,true;good;important;rare;strong;simple;clear;necessary;full;bright
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,fair;good;important;strong;necessary;true;big;rare;clear;fast
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,big;important;useful;true;deep;good;necessary;common;strong;new
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,love,strong;deep;good;true;warm;happy;big;necessary;full;pure
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,quiet;good;important;strong;true;warm;full;necessary;clear;rare
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,wise;good;deep;important;strong;true;rare;clear;full;necessary
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,small;tall;old;new;bright;warm;soft;colored;cheap;melted
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colored;dirty;clean;thick;cheap;warm
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;cheap;heavy;dirty;rare
grok-3-mini,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;gold;heavy;royal;beautiful;rare;broken
