Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,strong;hot;bad;big;sudden;deep;blind;raw;intense;quick
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,brave;strong;big;good;true;great;bold;fearless;heroic;steady
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,big;dark;cold;strong;sudden;deep;bad;real;old;quick
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,big;true;good;new;full;strong;real;open;sweet;bright
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,big;true;good;bright;warm;full;real;sweet;deep;strong
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;cold;blind;pure;old;new;bitter;dark
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,true;good;pure;simple;real;strong;full;clear;bright;fair
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;blind;pure;real;quick;full;clear
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,big;deep;good;true;new;old;strong;real;full;clear
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;big;sweet;real;warm;blind;good
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,good;true;deep;quiet;full;real;warm;strong;sweet;bright
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;strong;good;real;full;clear;pure
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;shiny;round;metal;broken
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;white;red;melted;simple
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;red;blue;dirty;clean;thick;thin
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;rare;dirty
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;shiny;heavy;royal;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,big;old;new;red;blue;white;national;proud;torn;clean
